#Parameters = {a=529; eps_eff=6; r_i=50; r_o=52.9; t=0.1}
#"Frequency / GHz"	"Z1,1 (2) [Real/Imaginary Part] [Re]"	"Z1,1 (2) [Real/Imaginary Part] [Im]"
#---------------------------------------------------------------------------------------------
1.0000000000000	1357.2399760655	-1945.1813775912
1.4989999532700	736.54070874370	-1588.0526681024
1.9980000257492	447.68062578668	-1292.9783513701
2.4969999790192	296.56870021381	-1077.2221160723
2.9960000514984	209.16273872867	-918.46548006306
3.4949998855591	154.52588216181	-798.49242024378
3.9939999580383	118.27035536341	-705.28646419959
4.4930000305176	93.060051345727	-631.06895609265
4.9920001029968	74.863796808820	-570.70800587408
5.4910001754761	61.325018060804	-520.72338800865
5.9899997711182	50.995603291390	-478.68852206125
6.4889998435974	42.947115078318	-442.86731367424
6.9879999160767	36.562626039378	-411.98859049825
7.4869999885559	31.419956036624	-385.10198220974
7.9860000610352	27.221694751874	-361.48399153906
8.4849996566772	23.754184011753	-340.57456093802
8.9840002059937	20.860504950020	-321.93372215570
9.4829998016357	18.423139120066	-305.21156163024
9.9820003509521	16.353264403952	-290.12611804840
10.480999946594	14.582197485753	-276.44785770794
10.979999542236	13.056616804385	-263.98818260423
11.479000091553	11.734211901388	-252.59059306971
11.977999687195	10.581506909829	-242.12433582817
12.477000236511	9.5714298201596	-232.47914539315
12.975999832153	8.6821263277333	-223.56150877560
13.475000381470	7.8956071113909	-215.29160775773
13.973999977112	7.1971303763386	-207.60089161840
14.472999572754	6.5744466466176	-200.43016817175
14.972000122070	6.0173205516371	-193.72799001534
15.470999717712	5.5172191622096	-187.44950668519
15.970000267029	5.0668666051578	-181.55548554339
16.468999862671	4.6601347489572	-176.01137049146
16.968000411987	4.2917439167360	-170.78654130013
17.466999053955	3.9572830431610	-165.85400073410
17.965999603271	3.6528773421341	-161.18957321984
18.465000152588	3.3751453633454	-156.77182516557
18.964000701904	3.1212728533370	-152.58144430235
19.462999343872	2.8887359596807	-148.60111703335
19.961999893188	2.6753143468247	-144.81529701115
20.461000442505	2.4791267356266	-141.20986932848
20.959999084473	2.2984853926271	-137.77206281290
21.458999633789	2.1318517056888	-134.49034863581
21.958000183105	1.9779611771749	-131.35418502994
22.457000732422	1.8356628363027	-128.35393802833
22.955999374390	1.7038807955970	-125.48087319726
23.454999923706	1.5817375357511	-122.72693062116
23.954000473022	1.4683780601847	-120.08475980006
24.452999114990	1.3630679910337	-117.54757645540
24.951999664307	1.2651578995039	-115.10916825773
25.451000213623	1.1740564103222	-112.76375987735
25.950000762939	1.0892283805902	-110.50607520520
26.448999404907	1.0101553639087	-108.33115685355
26.947999954224	0.93644073965614	-106.23449759528
27.447000503540	0.86768922922140	-104.21189429122
27.945999145508	0.80350265533060	-102.25931473081
28.444999694824	0.74360055045757	-100.37316548929
28.944000244141	0.68764919492361	-98.550193160044
29.443000793457	0.63536255706884	-96.786970198042
29.941999435425	0.58653503480394	-95.080775355124
30.440999984741	0.54090922668479	-93.428633551589
30.940000534058	0.49827093617145	-91.828074251850
31.438999176025	0.45843001253282	-90.276715390740
31.937999725342	0.42122456719539	-88.772107686307
32.437000274658	0.38647389861151	-87.312236483052
32.936000823975	0.35403265981198	-85.895163823191
33.435001373291	0.32375270403123	-84.518875853517
33.933998107910	0.29551301666436	-83.181593770858
34.432998657227	0.26917887032592	-81.881693554959
34.931999206543	0.24465625319619	-80.617556878696
35.430999755859	0.22182445713525	-79.387705446303
35.930000305176	0.20059449531064	-78.190775886348
36.429000854492	0.18087685878684	-77.025404747907
36.928001403809	0.16257966526569	-75.890262679253
37.426998138428	0.14564386335416	-74.784254981100
37.925998687744	0.12995763385050	-73.706217627720
38.424999237061	0.11548615874985	-72.655025157283
38.923999786377	0.10213977664390	-71.629748050865
39.423000335693	0.089885713229507	-70.629292649559
39.922000885010	0.078628347789804	-69.652866801335
40.421001434326	0.068350932033525	-68.699512477739
40.919998168945	0.058974262018307	-67.768454206841
41.418998718262	0.050464697235372	-66.858855818884
41.917999267578	0.042762900972029	-65.969951449820
42.416999816895	0.035848555505250	-65.101048029969
42.916000366211	0.029653757271111	-64.251485101816
43.415000915527	0.024162351536410	-63.420570929455
43.914001464844	0.019318243369321	-62.607674725520
44.412998199463	0.015106434261083	-61.812228712467
44.911998748779	0.011472508060802	-61.033626173015
45.410999298096	0.0083962464309112	-60.271325077042
45.909999847412	0.0058472167117273	-59.524842350082
46.409000396729	0.0037807826581696	-58.793637203094
