#Parameters = {C=5e-15; L=3e-08; a=4000; eps_eff=6; r_i=90; r_o=182; t=0.1}
#"Frequency / GHz"	"Z1,1 [Real/Imaginary Part] [Re]"	"Z1,1 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
1.0000000000000	-757.90494127353	-242.23341091694
2.4990000724792	-509.64659795157	-408.96612686012
3.9979999065399	-314.69698227299	-407.58195297292
5.4970002174377	-199.68925340007	-360.31182999336
6.9959998130798	-133.00305442013	-310.93504297962
8.4949998855591	-92.530739174193	-268.79286167629
9.9940004348755	-66.613397327857	-234.31984473229
11.493000030518	-49.189735747162	-206.18537952891
12.991999626160	-36.981112088502	-182.99630411609
14.491000175476	-28.124541032862	-163.62711928550
15.989999771118	-21.509718434409	-147.22529677798
17.489000320435	-16.446534778370	-133.15437111715
18.988000869751	-12.489724942447	-120.93770910944
20.486999511719	-9.3425433877625	-110.21477825712
21.986000061035	-6.8015291178110	-100.70956219245
23.485000610352	-4.7237368232066	-92.207885597897
24.983999252319	-3.0064545529778	-84.541461390932
26.482999801636	-1.5744971939734	-77.576412213014
27.982000350952	-0.37183493144546	-71.204981863150
29.481000900269	0.64397007734621	-65.339450340055
30.979999542236	1.5054509170039	-59.907767061886
32.479000091553	2.2379321812003	-54.850079904343
33.978000640869	2.8613323149688	-50.116277089862
35.477001190186	3.3915096858026	-45.664063836409
36.976001739502	3.8412075105716	-41.457387713723
38.474998474121	4.2207776836081	-37.465301094059
39.973999023438	4.5386883390781	-33.661051506272
41.472999572754	4.8019612797184	-30.021326374536
42.972000122070	5.0164482924402	-26.525701190370
44.471000671387	5.1870773548063	-23.156056759375
45.970001220703	5.3180485917912	-19.896285287968
47.469001770020	5.4129742131487	-16.731926852675
48.967998504639	5.4749992820584	-13.649883162314
50.466999053955	5.5068957978584	-10.638223018273
51.965999603271	5.5111694726008	-7.6859643456077
53.465000152588	5.4900992673894	-4.7829022582575
54.964000701904	5.4458217742185	-1.9194837167338
56.463001251221	5.3803897754574	0.91330308687453
57.962001800537	5.2958263873829	3.7240612120513
59.460998535156	5.1941788890946	6.5211045113570
60.959999084473	5.0775874507857	9.3124861985582
62.458999633789	4.9483356968219	12.106100696266
63.958000183105	4.8089235709745	14.909785289694
65.457000732422	4.6621414050996	17.731323984539
66.956001281738	4.5111655377405	20.578513006504
68.455001831055	4.3596402230537	23.459253171475
69.954002380371	4.2118071254328	26.381477086507
71.453002929688	4.0726194672099	29.353271565737
72.952003479004	3.9478948583329	32.382758366130
74.450996398926	3.8445012960502	35.478165655564
75.949996948242	3.7705176038213	38.647675220864
77.448997497559	3.7354743248633	41.899322270371
78.947998046875	3.7505677287842	45.240852199119
80.446998596191	3.8289042795840	48.679420226042
81.945999145508	3.9857384947406	52.221284220388
83.444999694824	4.2386637245171	55.871276110203
84.944000244141	4.6078013128002	59.632287324026
86.443000793457	5.1158154671431	63.504419940303
87.942001342773	5.7878037535758	67.484170094799
89.441001892090	6.6508837989449	71.563281915541
90.940002441406	7.7335310718407	75.727664559051
92.439002990723	9.0642687994477	79.956325304155
93.938003540039	10.670060943549	84.220217007085
95.436996459961	12.573895117512	88.481867415829
96.935997009277	14.791974521444	92.695473829929
98.434997558594	17.330609571251	96.807919400819
99.933998107910	20.183083718735	100.76142028515
101.43299865723	23.327187191240	104.49713807743
102.93199920654	26.724139512754	107.96034426072
104.43099975586	30.319294674372	111.10594504051
105.93000030518	34.045261811299	113.90411638926
107.42900085449	37.826967844574	116.34443924394
108.92800140381	41.588451725880	118.43814257301
110.42700195313	45.259998881835	120.21733246002
111.92600250244	48.784452363474	121.73186170146
113.42500305176	52.121818483557	123.04433326638
114.92400360107	55.251640427490	124.22356927670
116.42299652100	58.172893306303	125.33891279203
117.92199707031	60.902118423038	126.45474364590
