# Q3 Parity Data
# [VoltageBias(mV), ParityRate(sec^-1), Uncertainty, FitFidelity]
#-------------------------------------------------------
0.000000000000000000e+00 9.917514296775540572e+01 1.799039993795063186e+00 5.428159715582727696e-01
1.000000000000000000e+01 1.048094291170994836e+02 3.055111528781703445e+00 5.664827427208460886e-01
2.000000000000000000e+01 1.016296589742847516e+02 4.059269912449527062e+00 5.517896877877442874e-01
3.000000000000000000e+01 1.069025703460787753e+02 1.442928130719552726e+00 5.420626939103529995e-01
4.000000000000000000e+01 1.038037802466302253e+02 1.513793373528177666e+00 5.313439536295238019e-01
5.000000000000000000e+01 9.776322231193992707e+01 2.225699945303552862e+00 5.275300616915485907e-01
6.000000000000000000e+01 1.070690614877094475e+02 3.386923287255279469e+00 5.317795228464223811e-01
7.000000000000000000e+01 9.659129266985252116e+01 4.808305835370999759e+00 5.229928381835765583e-01
8.000000000000000000e+01 1.044274457071322786e+02 1.550708322980150156e+00 4.543915014512055484e-01
9.000000000000000000e+01 1.007646527317473613e+02 4.260997029599395525e+00 4.861861082222323494e-01
1.050000000000000000e+02 1.036664095051689145e+02 1.825180825467540568e+00 5.280028068819502263e-01
1.100000000000000000e+02 1.108681955360009823e+02 2.151050266351484108e+00 5.246356107381290323e-01
1.150000000000000000e+02 1.034189907906636563e+02 2.187225759372854128e+00 5.156145391820149415e-01
1.200000000000000000e+02 9.862016205344711750e+01 1.972093122581583646e+00 5.239903093119069322e-01
1.250000000000000000e+02 1.076191199929666027e+02 1.436705555976669935e+00 5.174708550550818353e-01
1.300000000000000000e+02 1.050336066469375567e+02 4.412693655860043584e+00 5.301789122263657061e-01
1.350000000000000000e+02 1.082789936312809402e+02 5.912187227333316475e-01 4.961741843659568940e-01
1.400000000000000000e+02 1.081661628297708830e+02 5.209825134276263370e+00 5.108483503708778350e-01
1.450000000000000000e+02 1.047091899879729908e+02 3.538561025625499568e+00 5.158137065067004423e-01
1.500000000000000000e+02 1.061976554184348487e+02 5.269315526239326530e+00 5.334444874637858103e-01
1.550000000000000000e+02 1.102150966898222180e+02 4.716187666228650599e+00 5.141428987853032817e-01
1.600000000000000000e+02 1.083186776487765712e+02 1.774777204311845491e+00 5.225554771297847845e-01
1.650000000000000000e+02 1.125978467317366523e+02 2.033107369697797928e+00 5.150056202708421793e-01
1.700000000000000000e+02 1.122313348144707277e+02 3.121867328319066548e+00 4.860361349995982461e-01
1.750000000000000000e+02 1.262066817050857708e+02 1.452328220139330828e+00 4.467957670798289871e-01
