#Parameters = {C=4.05e-15; R=16600; a=1000; ep_eff=6; t=0.1}
#"Frequency / GHz"	"Loss in Lumped Elements [Real Part]"
#-------------------------------------------------------
200.00000000000	2.0441598938117e-13
205.00000000000	2.5759269595928e-13
210.00000000000	3.1436765287631e-13
215.00000000000	3.8172433093796e-13
220.00000000000	4.6265384216572e-13
225.00000000000	5.6265071014194e-13
230.00000000000	6.8649483593212e-13
235.00000000000	8.3967955014064e-13
240.00000000000	1.0286793587774e-12
245.00000000000	1.2616401527379e-12
250.00000000000	1.5512149327784e-12
255.00000000000	1.9181917132196e-12
260.00000000000	2.3872967348547e-12
265.00000000000	2.9346080191250e-12
270.00000000000	3.3431980188007e-12
275.00000000000	3.2250262494256e-12
280.00000000000	2.5893627119946e-12
285.00000000000	1.8704671332548e-12
290.00000000000	1.3161781475781e-12
295.00000000000	9.4214012918269e-13
300.00000000000	6.9882847120549e-13
305.00000000000	5.3689592785570e-13
310.00000000000	4.2361337597346e-13
315.00000000000	3.4283946584381e-13
320.00000000000	2.8617014741241e-13
325.00000000000	2.4725261056498e-13
330.00000000000	2.2071608310250e-13
335.00000000000	2.0242402943204e-13
340.00000000000	1.8957376280658e-13
345.00000000000	1.8056947163552e-13
350.00000000000	1.7471352601572e-13
355.00000000000	1.7179774680891e-13
360.00000000000	1.7176052970673e-13
365.00000000000	1.7446519478973e-13
370.00000000000	1.7967555762553e-13
375.00000000000	1.8713579088210e-13
380.00000000000	1.9666070079368e-13
385.00000000000	2.0815577527819e-13
390.00000000000	2.2175044844484e-13
395.00000000000	2.3768034452623e-13
400.00000000000	2.5638776520564e-13
405.00000000000	2.7841066479341e-13
410.00000000000	3.0439187500636e-13
415.00000000000	3.3502256608739e-13
420.00000000000	3.7090315416860e-13
425.00000000000	4.1251982040345e-13
430.00000000000	4.6029145023681e-13
435.00000000000	5.1487984748496e-13
440.00000000000	5.7770958893882e-13
445.00000000000	6.5139693029497e-13
450.00000000000	7.4000621018882e-13
455.00000000000	8.4857271402374e-13
460.00000000000	9.8346973260430e-13
465.00000000000	1.1524026411066e-12
470.00000000000	1.3641715646090e-12
475.00000000000	1.6247968216851e-12
480.00000000000	1.9241634121033e-12
485.00000000000	2.2092521231046e-12
490.00000000000	2.3684801710986e-12
495.00000000000	2.2887563348913e-12
500.00000000000	1.9693412183480e-12
505.00000000000	1.5331469054652e-12
510.00000000000	1.1152690696347e-12
515.00000000000	7.8408109395636e-13
520.00000000000	5.4659234852443e-13
525.00000000000	3.8367024901952e-13
530.00000000000	2.7351248241458e-13
535.00000000000	1.9927527987347e-13
540.00000000000	1.4918242350221e-13
545.00000000000	1.1514545487318e-13
550.00000000000	9.1817155857144e-14
555.00000000000	7.5705287624239e-14
560.00000000000	6.4537752270035e-14
565.00000000000	5.6851771507577e-14
570.00000000000	5.1644766490338e-14
575.00000000000	4.8232986571196e-14
580.00000000000	4.6098273630338e-14
585.00000000000	4.4834974343841e-14
590.00000000000	4.4127776923494e-14
595.00000000000	4.3718372465102e-14
600.00000000000	3.7993888818513e-14
