# Q1 Parity Data
# [VoltageBias(mV), ParityRate(sec^-1), Uncertainty, FitFidelity]
#-------------------------------------------------------
0.000000000000000000e+00 8.479547476780088289e+01 1.843557256574433811e+00 5.352904511388094644e-01
1.000000000000000000e+01 8.567273564144018394e+01 3.504237742101400599e+00 5.211175608631147815e-01
2.000000000000000000e+01 8.458131565864086099e+01 2.507892120030626337e+00 5.284524631968865460e-01
3.000000000000000000e+01 8.341993532311983017e+01 1.737752793879410618e+00 5.283006040319576657e-01
4.000000000000000000e+01 8.806639762569939478e+01 3.566639359471380555e+00 5.290865447777142183e-01
5.000000000000000000e+01 8.591011245173042710e+01 1.712053815896469544e+00 5.155981035621413078e-01
6.000000000000000000e+01 9.063638527916421594e+01 8.196305085659114642e-01 5.036391450910848722e-01
7.000000000000000000e+01 8.420680532502203164e+01 1.651143625122265535e+00 5.191382525688498228e-01
8.000000000000000000e+01 9.184801477340576525e+01 2.168236971867505858e+00 5.308156122172741354e-01
9.000000000000000000e+01 9.147268207521685213e+01 2.712919630677684157e+00 5.303251369682338012e-01
1.050000000000000000e+02 8.576239321855139508e+01 2.772282111331300314e+00 4.982026034436112250e-01
1.100000000000000000e+02 9.166245778751851958e+01 3.158430214175507178e+00 5.181390023224873298e-01
1.150000000000000000e+02 9.328473949118190944e+01 2.928277403134520007e+00 5.552367458081820528e-01
1.200000000000000000e+02 8.829899816389659861e+01 2.671838683733710695e+00 5.483031441160555186e-01
1.250000000000000000e+02 9.288184539928654715e+01 2.508089715054607094e+00 5.307874863795257747e-01
1.300000000000000000e+02 9.008253654955889544e+01 3.318683081230630272e+00 5.088980624925840690e-01
1.350000000000000000e+02 9.339115928645701104e+01 2.492621566940456113e+00 5.014995555449824893e-01
1.400000000000000000e+02 9.143110924940901896e+01 2.157688927218204711e+00 4.972499547465626391e-01
1.450000000000000000e+02 9.174235361914396947e+01 1.668385706532540258e+00 4.964966056275300632e-01
1.500000000000000000e+02 9.589167926020424204e+01 2.568484415702620538e+00 4.934155908428743409e-01
1.550000000000000000e+02 9.125363615468864964e+01 3.090600384857447924e+00 4.913957921692751474e-01
1.600000000000000000e+02 8.847546716492993824e+01 2.201402016241530646e+00 4.859102114975585307e-01
1.650000000000000000e+02 9.859996693258612765e+01 3.402180278814682879e+00 4.960491808183202789e-01
1.700000000000000000e+02 1.078745694765239307e+02 5.460494116929745623e+00 5.000007744088456052e-01
1.750000000000000000e+02 1.113643591023005968e+02 4.575771322841286626e+00 5.070020878990793012e-01
1.800000000000000000e+02 1.037964197470999324e+02 1.382189449562769568e+00 5.034644976177446996e-01
1.850000000000000000e+02 1.184208067334945582e+02 2.053071990409050418e+00 5.152257328048641671e-01
1.900000000000000000e+02 1.136198218217779612e+02 3.584204134251835594e+00 5.193113194472719352e-01
1.950000000000000000e+02 1.477254728453437167e+02 3.373783627194418600e+00 5.250845795684226935e-01
2.000000000000000000e+02 1.512968410214039920e+02 3.818781709621500653e+00 5.344918685262893820e-01
2.050000000000000000e+02 1.105577030735680211e+02 4.949867870149182281e+00 5.710496952207190224e-01
2.100000000000000000e+02 1.367684334429905846e+02 3.723113528234806680e+00 5.631377211186647802e-01
