# Q2 Parity Data
# [VoltageBias(mV), ParityRate(sec^-1), Uncertainty, FitFidelity]
#-------------------------------------------------------
2.560000000000000000e+02 3.344118339431973368e+02 8.739385686540591891e+00 4.743209954458275091e-01
2.570000000000000000e+02 3.304899669381255762e+02 7.782418462706338858e+00 4.729466841030990909e-01
2.580000000000000000e+02 3.201338526661059518e+02 5.366492226957019440e+00 4.676439617091664447e-01
2.590000000000000000e+02 3.103595649321223959e+02 1.011904089061476952e+01 4.764870415797675673e-01
2.600000000000000000e+02 3.056487265449758866e+02 3.422073007601489358e+00 4.758548841226101223e-01
2.610000000000000000e+02 2.918170827522941977e+02 5.380033974853319023e+00 4.648236177932985047e-01
2.620000000000000000e+02 3.218930950738701426e+02 4.957719573998254248e+00 4.632428627809364596e-01
2.630000000000000000e+02 3.482340317707330541e+02 4.831261556387310918e+00 4.599336103855135027e-01
2.640000000000000000e+02 3.975575986256085912e+02 5.064192141088660115e+00 4.561561010933688487e-01
2.650000000000000000e+02 4.707612328579751306e+02 6.531742882516055282e+00 4.525399037425383852e-01
2.660000000000000000e+02 5.311918007079040080e+02 7.123995354193571217e+00 4.451913503919928683e-01
2.670000000000000000e+02 5.039666689769962886e+02 9.353343060410249876e+00 4.504790252338650158e-01
2.680000000000000000e+02 4.318534501893165611e+02 9.404995351343380605e+00 4.433250075620032149e-01
2.690000000000000000e+02 3.915012427937292045e+02 6.009473222536432679e+00 4.450393317663073889e-01
2.700000000000000000e+02 3.761396325481516101e+02 4.751431536014618651e+00 4.481539117706951347e-01
2.710000000000000000e+02 4.011663804095113051e+02 9.136185963985321123e+00 4.468824470147109706e-01
2.720000000000000000e+02 4.028035009964987694e+02 6.880355293787682847e+00 4.410574166253040662e-01
2.730000000000000000e+02 4.311768148606558384e+02 5.096510791301396281e+00 4.411227143835182996e-01
2.740000000000000000e+02 4.877711233670302136e+02 8.486074593174835812e+00 4.384058030836619491e-01
2.750000000000000000e+02 5.811314480952554504e+02 1.203997126621829494e+01 4.409344616511325365e-01
2.760000000000000000e+02 6.381095991306905262e+02 1.105831654551236198e+01 4.419729061099708645e-01
2.770000000000000000e+02 6.258375221587667738e+02 1.191059420581812134e+01 4.441189613113374346e-01
2.780000000000000000e+02 5.931883342996520696e+02 9.079334730866943204e+00 4.420649919948041462e-01
2.790000000000000000e+02 5.305160619428901327e+02 5.880709672542535849e+00 4.321563091688942482e-01
2.800000000000000000e+02 5.316979856203300869e+02 9.202876658905504215e+00 4.543117590919652504e-01
2.810000000000000000e+02 5.787848015032133162e+02 9.245125800426412965e+00 4.536942950194031154e-01
2.820000000000000000e+02 5.919144543607704918e+02 9.671889287619862330e+00 4.727004795917383873e-01
2.830000000000000000e+02 5.902274364381310079e+02 7.465352591466906773e+00 4.700371772416822025e-01
2.840000000000000000e+02 5.435485762723760672e+02 1.012417672905254307e+01 4.815495756382561776e-01
2.850000000000000000e+02 5.190643395511486915e+02 8.472291310939517928e+00 4.780176012423367204e-01
2.860000000000000000e+02 4.658122949657983440e+02 8.446193941324999344e+00 4.611717871620349407e-01
2.870000000000000000e+02 4.316469982420429119e+02 9.791567659257712108e+00 4.762898035652813333e-01
2.880000000000000000e+02 4.372723002374200405e+02 9.548688226486968134e+00 4.820411337567869769e-01
2.890000000000000000e+02 4.294504886542931104e+02 5.822192647284127887e+00 4.549910740804657405e-01
2.900000000000000000e+02 4.514885099430198352e+02 5.973895777070559632e+00 4.393516934949770469e-01
2.910000000000000000e+02 4.504704100366209332e+02 6.882558200633967616e+00 4.561360301670888684e-01
2.920000000000000000e+02 4.197882612998988066e+02 6.541161306891708271e+00 4.602573412684096144e-01
2.930000000000000000e+02 3.870086716001821969e+02 7.260175484086451192e+00 4.624286205230834779e-01
2.940000000000000000e+02 3.605756455032676513e+02 6.134672283775047141e+00 4.339631552109038393e-01
2.950000000000000000e+02 3.480576600385807069e+02 7.672499323327851783e+00 4.401690704903031270e-01
2.960000000000000000e+02 3.294762419665959214e+02 7.208163237311818072e+00 4.653385217674723684e-01
2.970000000000000000e+02 3.073333034387764542e+02 2.803532553471323574e+00 4.614644568411561676e-01
2.980000000000000000e+02 2.757497271699737098e+02 5.052441791128488013e+00 4.461853086466958662e-01
2.990000000000000000e+02 2.488368592616886019e+02 5.609494086534868806e+00 4.265495156841769275e-01
3.000000000000000000e+02 2.196492964575674307e+02 3.250336856066305735e+00 4.257842404170680273e-01
3.010000000000000000e+02 2.219562162432294485e+02 6.265378969511241181e+00 4.591314244466981331e-01
3.020000000000000000e+02 2.323460382003304687e+02 7.160389373808350832e+00 5.283817796372846098e-01
3.030000000000000000e+02 2.340482047291141043e+02 4.289670368096389907e+00 5.201752325424628953e-01
3.040000000000000000e+02 2.544561653049618997e+02 4.498907274070066187e+00 4.920520303375439108e-01
3.050000000000000000e+02 2.611857280661873801e+02 4.125764117408794895e+00 5.177792304184819505e-01
3.060000000000000000e+02 2.705441864730338466e+02 5.512634367065074592e+00 5.454868245174304686e-01
3.070000000000000000e+02 2.934118744045514404e+02 3.199818887042704230e+00 5.631746331040941023e-01
3.080000000000000000e+02 2.730414536976866771e+02 4.807363501129319872e+00 5.561717900978045970e-01
3.090000000000000000e+02 2.450188215050490612e+02 4.150625000631169570e+00 5.507122291427078986e-01
3.100000000000000000e+02 2.346455919591179793e+02 4.887579878612648088e+00 5.484835213602101689e-01
3.110000000000000000e+02 2.150845898482077700e+02 5.106625227976770987e+00 5.176742987515333683e-01
3.120000000000000000e+02 2.097640941389818181e+02 3.725736552276574631e+00 5.629803557750772125e-01
3.130000000000000000e+02 2.209033461742104407e+02 4.469628519701307923e+00 5.636970351056870276e-01
3.140000000000000000e+02 2.173105175295532376e+02 4.447948331748678541e+00 5.655235190573998372e-01
3.150000000000000000e+02 2.183547967719731844e+02 4.587089628745792957e+00 5.524162416941827969e-01
3.160000000000000000e+02 2.125210192205999533e+02 2.702620109969504192e+00 5.397400552003702723e-01
3.170000000000000000e+02 1.983926955854438461e+02 5.066661299247011918e+00 5.256531205870392798e-01
3.180000000000000000e+02 1.838735882221760107e+02 2.755809731507012472e+00 5.039456463446100321e-01
3.190000000000000000e+02 1.679445491922199949e+02 4.414084931889957097e+00 5.073936608458037290e-01
3.200000000000000000e+02 1.598821165725020421e+02 3.069466316677518680e+00 4.976229722395860700e-01
3.210000000000000000e+02 1.593475108074457864e+02 3.402058072767854213e+00 4.948546438875257580e-01
3.220000000000000000e+02 1.650305039144447505e+02 4.013339557193091878e+00 5.012408232580258804e-01
3.230000000000000000e+02 1.717069813274650869e+02 3.044580378743166449e+00 4.805643970085178296e-01
3.240000000000000000e+02 1.776669004039377455e+02 4.616605179520465008e+00 5.223044999410160205e-01
3.250000000000000000e+02 1.735532176803538675e+02 4.273793741986957606e+00 5.283648133525394863e-01
3.260000000000000000e+02 1.666573894088117243e+02 4.830662074918134152e+00 5.236717964266472958e-01
3.270000000000000000e+02 1.646250995896180598e+02 3.515682039066594378e+00 5.249386205009243245e-01
3.280000000000000000e+02 1.631648739294523125e+02 2.545597731716753298e+00 5.388023903065287668e-01
3.290000000000000000e+02 1.630331874012785818e+02 6.336494661243353477e+00 5.225520429658376820e-01
3.300000000000000000e+02 1.697400187564502687e+02 3.753642235909758096e+00 5.391159437629274853e-01
3.310000000000000000e+02 1.625562880812647393e+02 3.841613125047532051e+00 5.404009413290595809e-01
3.320000000000000000e+02 1.719622024110611278e+02 5.076914646397811204e+00 5.483121420595715723e-01
3.330000000000000000e+02 1.812643848401459650e+02 3.999506166211753921e+00 5.430673835723600629e-01
3.340000000000000000e+02 1.773988007917817242e+02 3.941856660984880634e+00 5.434898790643231115e-01
3.350000000000000000e+02 1.733285052102693271e+02 3.973361669484265501e+00 5.433127329428037999e-01
3.360000000000000000e+02 1.779062542698056006e+02 3.881771349905553059e+00 5.435792037692250833e-01
3.370000000000000000e+02 1.677634229363985696e+02 3.136690231503133308e+00 5.076311438793260633e-01
3.380000000000000000e+02 1.540182863660884323e+02 1.998960275139216369e+00 5.443155339878995580e-01
3.390000000000000000e+02 1.512794796441927758e+02 2.482737524188411093e+00 5.378700718137359171e-01
3.400000000000000000e+02 1.461279934376964320e+02 3.263899427116220497e+00 5.321672148044965800e-01
3.450000000000000000e+02 1.422207351855973627e+02 3.510052142832380540e+00 4.781066147121992849e-01
3.500000000000000000e+02 1.454310908130877635e+02 2.566545264396589587e+00 4.815737585092462747e-01
3.550000000000000000e+02 1.312726593460980666e+02 2.276238201957766272e+00 4.854856808269332191e-01
3.600000000000000000e+02 1.357073897857481484e+02 2.378100536659303987e+00 4.936856810697723974e-01
3.650000000000000000e+02 1.331764562953579514e+02 3.472594935406319028e+00 4.802602829315604782e-01
3.700000000000000000e+02 1.326710453510110312e+02 4.604292270443075985e+00 4.829333279791307443e-01
3.750000000000000000e+02 1.358565944127313116e+02 2.882253633078899480e+00 5.120375828470968838e-01
3.800000000000000000e+02 1.442969564230085098e+02 2.675696696509594741e+00 4.892949261010315354e-01
3.850000000000000000e+02 1.442271949476815394e+02 5.724057172993749276e+00 4.616739359466142112e-01
3.900000000000000000e+02 1.344392814657476265e+02 3.631406937379871191e+00 4.586057321689260280e-01
3.950000000000000000e+02 1.401643278785000177e+02 3.003095102365360702e+00 4.746004959497889253e-01
4.000000000000000000e+02 1.352912422161647044e+02 4.597373604474084274e+00 4.786664277175695648e-01
4.050000000000000000e+02 1.193828348354656157e+02 5.242357590666058442e+00 4.978729058209171998e-01
4.100000000000000000e+02 1.397035311178025836e+02 3.532883867607483186e+00 4.867323865166709451e-01
4.150000000000000000e+02 1.425706422830100735e+02 5.210111151418152176e+00 4.718689160884947387e-01
4.200000000000000000e+02 1.464552994327721649e+02 3.714772155256857555e+00 4.686534758622986629e-01
4.250000000000000000e+02 1.418354184183411348e+02 3.180759583683866243e+00 4.668186014933625172e-01
4.300000000000000000e+02 1.472348017149038810e+02 2.298591844571769460e+00 4.859186372493726758e-01
4.350000000000000000e+02 1.439813611733063965e+02 3.383908171071092319e+00 4.712329186230005407e-01
4.400000000000000000e+02 1.449142301088403428e+02 2.937131678692639358e+00 4.741360974247294524e-01
4.450000000000000000e+02 1.534183465235632866e+02 6.053777077185387157e-01 4.654143781772043242e-01
4.500000000000000000e+02 1.380622626166507985e+02 3.964009774771200867e+00 4.938477933995229496e-01
4.550000000000000000e+02 1.416868961252534689e+02 3.560568374452198537e+00 4.909393494356527055e-01
4.600000000000000000e+02 1.356394951328633454e+02 5.398126159676943203e+00 5.005697140073650520e-01
4.650000000000000000e+02 1.664382024512447060e+02 2.420209560136350024e+00 5.008353831393700384e-01
4.700000000000000000e+02 1.597995530435926241e+02 3.175220924828741076e+00 5.633494122303852603e-01
4.710000000000000000e+02 1.645088325390559021e+02 1.119601742367891006e+00 5.416543808776597135e-01
4.720000000000000000e+02 1.584008832747334168e+02 3.862548267640581123e+00 5.565908681282945025e-01
4.730000000000000000e+02 1.479134785837619575e+02 2.864156472908197415e+00 5.563712528945119473e-01
4.740000000000000000e+02 1.448455213720772008e+02 1.773602977053897023e+00 5.541941036180688673e-01
4.750000000000000000e+02 1.508862810747365870e+02 4.124992914957545054e+00 5.590290757288053358e-01
4.760000000000000000e+02 1.503690005166982360e+02 3.563237458481521625e+00 5.593563375936624338e-01
4.770000000000000000e+02 1.575116344207131647e+02 3.569904978439298215e+00 5.569080923643183745e-01
4.780000000000000000e+02 1.585325277500373318e+02 5.840715697515395988e+00 5.549982599957277163e-01
4.790000000000000000e+02 1.585996734534210759e+02 1.736141754996853415e+00 5.467166044540852088e-01
4.800000000000000000e+02 1.663246833338475312e+02 4.888576190448392644e+00 5.046144677143826751e-01
4.810000000000000000e+02 1.565808213391373442e+02 2.784317099897962944e+00 5.058460247628598916e-01
4.820000000000000000e+02 1.535493067033922330e+02 2.856412543222657696e+00 4.964599636478042033e-01
4.830000000000000000e+02 1.629893877630158840e+02 3.222824102518638156e+00 5.053579485284707129e-01
4.840000000000000000e+02 1.613540744170474284e+02 2.932029190288532039e+00 5.063540144338486426e-01
4.850000000000000000e+02 1.651860510427670192e+02 1.796000112031067353e+00 5.093283640397663348e-01
4.860000000000000000e+02 1.683070180945331913e+02 4.848388926301633539e+00 5.261887602168314748e-01
4.870000000000000000e+02 1.641520521292811736e+02 3.428532739638752158e+00 5.300371687558201872e-01
4.880000000000000000e+02 1.638792282334770221e+02 3.555301302788219431e+00 5.087078708302068542e-01
4.890000000000000000e+02 1.657648545492704102e+02 6.485750417382101674e+00 4.644074314372119150e-01
4.900000000000000000e+02 1.616737880997409889e+02 3.254860955807207912e+00 5.255904114464511334e-01
4.910000000000000000e+02 1.724631133770713518e+02 2.718228054573684993e+00 5.258728782984219974e-01
4.920000000000000000e+02 1.710386205068206209e+02 4.093721661476036111e+00 5.307636498284542537e-01
4.930000000000000000e+02 1.638077506087182087e+02 2.882702298742157776e+00 5.688044884451034511e-01
4.940000000000000000e+02 1.643752374826491973e+02 5.730771863136832955e+00 5.647303657677151811e-01
4.950000000000000000e+02 1.775408480780536991e+02 2.891079434812668048e+00 4.869669313886199058e-01
4.960000000000000000e+02 1.747994812864579046e+02 4.985139800386121145e+00 5.760344422368974815e-01
4.970000000000000000e+02 1.573014229259062517e+02 5.942632949878067450e+00 5.641446684060535954e-01
4.980000000000000000e+02 1.616035403587971757e+02 2.752993727688704428e+00 5.625291218186491138e-01
4.990000000000000000e+02 1.560864865862361626e+02 3.448550663449973630e+00 5.479684027541464886e-01
5.000000000000000000e+02 1.591813458152019791e+02 1.883184109770689618e+00 5.480640505517524463e-01
5.010000000000000000e+02 1.631793158887757045e+02 2.094466660949310111e+00 5.476679544438002312e-01
5.020000000000000000e+02 1.717326211518132766e+02 5.963896588522786146e+00 5.470897063623200163e-01
5.030000000000000000e+02 1.639229370734131521e+02 5.057018876999148205e+00 5.350940858497976738e-01
5.040000000000000000e+02 1.717676942172739700e+02 1.937400014680309202e+00 5.349947127090650678e-01
5.050000000000000000e+02 1.650282923541838329e+02 2.026017461107573858e+00 5.366025514844513511e-01
5.060000000000000000e+02 1.557919610314280021e+02 2.841972704928161786e+00 5.361540197634986349e-01
5.070000000000000000e+02 1.736005789194167335e+02 3.730933961221103878e+00 5.404690081180480998e-01
5.080000000000000000e+02 1.638431788010940977e+02 4.033359606023965149e+00 5.398143559309573902e-01
5.090000000000000000e+02 1.682870333233817632e+02 2.803355587981263941e+00 5.426475538708206425e-01
5.100000000000000000e+02 1.646714038269799403e+02 3.140418778431638636e+00 5.344571000374953584e-01
5.110000000000000000e+02 1.708217685120876581e+02 4.105283195658727458e+00 5.563811525808196601e-01
5.120000000000000000e+02 1.696708413205838610e+02 4.219501023878391877e+00 5.506899076206529520e-01
5.130000000000000000e+02 1.584992718554189253e+02 4.659423513253558191e+00 5.283909318243095177e-01
5.140000000000000000e+02 1.641132832648993940e+02 4.427185699514942563e+00 5.251820549198276122e-01
5.150000000000000000e+02 1.588590959858151450e+02 3.010511364160869618e+00 5.277199496718444349e-01
5.160000000000000000e+02 1.616905888475281188e+02 3.842124929885628593e+00 5.214678881771527275e-01
5.170000000000000000e+02 1.681314061816028982e+02 4.619892401141179050e+00 5.149277328745126558e-01
5.180000000000000000e+02 1.553181570945203305e+02 4.848609527939446551e+00 5.142858129929503974e-01
5.190000000000000000e+02 1.559242085263055628e+02 6.223464331734014365e+00 4.839427679661812975e-01
5.200000000000000000e+02 1.577120819033517023e+02 4.348997144473790932e+00 5.419323276892042962e-01
5.210000000000000000e+02 1.616202509756593884e+02 3.959723007354093216e+00 5.079800388025734748e-01
5.220000000000000000e+02 1.620865864442793338e+02 2.703381189206448543e+00 5.055789585221756033e-01
5.230000000000000000e+02 1.743546685052862131e+02 5.750351483419890997e+00 5.100267416935249098e-01
5.240000000000000000e+02 1.717691403714534886e+02 3.733589400261026814e+00 5.229220552141109479e-01
5.250000000000000000e+02 1.579335192679052398e+02 5.338646887188911450e+00 5.192023510253214180e-01
5.260000000000000000e+02 1.584982701400770111e+02 3.405985867550515245e+00 5.285367042113435776e-01
5.270000000000000000e+02 1.644396368350332693e+02 6.708591838785523009e+00 5.249302792576121535e-01
5.280000000000000000e+02 1.663102006697312447e+02 5.653324945344034624e+00 5.131790480275031374e-01
5.290000000000000000e+02 1.612827387382508277e+02 2.826666681314319973e+00 5.213771841445336008e-01
5.300000000000000000e+02 1.644501387139603708e+02 4.701992639900196558e+00 5.078281293403799079e-01
5.350000000000000000e+02 1.652581488602074273e+02 2.710991408887996279e+00 4.964696642396781989e-01
5.400000000000000000e+02 1.680472386086291294e+02 3.087672281367531024e+00 5.101994762083088553e-01
5.450000000000000000e+02 1.796426857842352547e+02 3.855154333643035169e+00 5.174062111752852910e-01
5.500000000000000000e+02 1.720765074778842347e+02 3.050723444070627455e+00 4.774349832132215310e-01
5.550000000000000000e+02 1.892741893804588642e+02 4.471747415078567656e+00 5.323658693837994837e-01
5.600000000000000000e+02 1.775818187642275348e+02 4.518339143396642221e+00 5.399532668611234376e-01
5.650000000000000000e+02 1.950737776000425185e+02 4.770430412301602807e+00 5.424129786365005090e-01
5.700000000000000000e+02 1.938754328212936286e+02 4.734070207390810303e+00 5.382604745573948968e-01
5.750000000000000000e+02 1.983640128709845101e+02 4.117915070144210432e+00 5.046550457938383527e-01
5.800000000000000000e+02 2.061326028976421583e+02 4.780295399752594321e+00 4.353308088380233865e-01
5.850000000000000000e+02 2.195756701525413916e+02 4.382596147109516060e+00 4.708900736084203342e-01
5.900000000000000000e+02 2.157402290128246420e+02 5.817139188930911864e+00 4.669487033597183867e-01
5.950000000000000000e+02 2.211528806335221873e+02 1.842792804578409216e+00 4.573965657512880645e-01
6.000000000000000000e+02 2.319783802367805947e+02 7.207251092029551831e-01 5.283940581289103822e-01
6.010000000000000000e+02 2.421286858304391103e+02 4.437185453887177111e+00 5.259854375749118960e-01
6.020000000000000000e+02 2.384810032998706788e+02 5.093138313235507475e+00 5.249029814119033910e-01
6.030000000000000000e+02 2.361043850884570361e+02 2.093846062534424846e+00 4.787868953786231785e-01
6.040000000000000000e+02 2.404376495638192068e+02 1.625605379692569796e+00 5.160275709011259426e-01
6.050000000000000000e+02 2.401884975052303162e+02 3.746536385759843046e+00 5.017134853816160867e-01
6.060000000000000000e+02 2.492007791760668738e+02 1.757744711022408257e+00 5.132084067254930604e-01
6.070000000000000000e+02 2.374272578627067958e+02 1.893323107580376696e+00 5.182005962193676485e-01
6.080000000000000000e+02 2.389235267682728079e+02 3.696013176451121929e+00 5.629220316671742497e-01
6.090000000000000000e+02 2.475748694172307296e+02 1.979300095155241968e+00 5.521989407936530592e-01
6.100000000000000000e+02 2.499037770953687811e+02 4.283644752848471349e+00 5.487217907824916141e-01
6.110000000000000000e+02 2.436843159504400376e+02 4.515686748763867442e+00 5.488402172832165249e-01
6.120000000000000000e+02 2.450926126780076117e+02 5.768404571268665570e+00 4.461333239306163878e-01
6.130000000000000000e+02 2.560256827424487938e+02 2.729742684240525463e+00 4.940864400975105153e-01
6.140000000000000000e+02 2.504664892419514217e+02 2.990371852623111781e+00 4.830372109884496501e-01
6.150000000000000000e+02 2.529723160433877638e+02 2.952080467157847554e+00 5.013204862813313012e-01
6.160000000000000000e+02 2.559628510763620852e+02 3.560448622017049036e+00 5.162617409266577750e-01
6.170000000000000000e+02 2.528779151745462457e+02 4.058868428145953722e+00 5.110968200080354684e-01
