#Parameters = {a=1500; t=0.1}
#"Frequency / GHz"	"Z1,1 [Real/Imaginary Part] [Re]"	"Z1,1 [Real/Imaginary Part] [Im]"
#-------------------------------------------------------------------------------------
1.0000000000000	59.430562974549	-4.5499622270505
1.9989999532700	56.511929777856	-8.0061663224435
2.9979999065399	52.633982161630	-9.7789216190486
3.9969999790192	48.676055973813	-9.8564216894563
4.9959998130798	45.247518939871	-8.5761181937971
5.9949998855591	42.664386116603	-6.3683621204150
6.9939999580383	41.047664350039	-3.6227600958691
7.9930000305176	40.422190462829	-0.66179998045951
8.9919996261597	40.773816102845	2.2323935790071
9.9910001754761	42.061773624307	4.7752780633897
10.989999771118	44.188624121892	6.6431684456749
11.989000320435	46.928651836141	7.4681265648223
12.987999916077	49.832405152526	6.9070372358190
13.987000465393	52.181339668274	4.8255582916779
14.986000061035	53.130678215616	1.5468958523382
15.984999656677	52.097462957495	-2.0645645810146
16.983999252319	49.138406875153	-4.9140160331471
17.982999801636	44.920716460580	-6.2031321558154
18.982000350952	40.306056144424	-5.6993620318613
19.981000900269	35.964433629646	-3.6020403251315
20.979999542236	32.258119697864	-0.26318337226980
21.979000091553	29.313959714950	4.0061351930832
22.978000640869	27.136280475183	9.0091919473083
23.976999282837	25.691942987121	14.670582043779
24.975999832153	24.962249315224	21.025472781182
25.975000381470	24.977548517842	28.216048615741
26.974000930786	25.853047369656	36.506967345329
27.972999572754	27.848998878491	46.330744585222
28.972000122070	31.497501730905	58.382280872557
29.971000671387	37.903523601733	73.800696104436
30.969999313354	49.544974972598	94.495231524735
31.968999862671	72.717134438264	123.52254689392
32.967998504639	126.14138824624	163.13802037527
33.966999053955	266.61186194420	181.05939852464
34.965999603271	427.68902605961	-55.617833700685
35.965000152588	214.54722578314	-233.11538191932
36.964000701904	88.838405010796	-187.28422139595
37.963001251221	45.507284979906	-140.56623702973
38.962001800537	27.854214226036	-109.22920587432
39.960998535156	19.401789310262	-87.766224739971
40.959999084473	14.879147425827	-72.260090497931
41.958999633789	12.279437306784	-60.506545619512
42.958000183105	10.722608816406	-51.244101362482
43.957000732422	9.7775881892369	-43.715660355281
44.956001281738	9.2131925161520	-37.444784660138
45.955001831055	8.8950205790227	-32.118448749552
46.953998565674	8.7387316049605	-27.522572801956
47.952999114990	8.6873510954618	-23.504944391277
48.951999664307	8.6998790728169	-19.952742929410
49.951000213623	8.7456119139376	-16.778610158692
50.950000762939	8.8014960071303	-13.911837361996
51.949001312256	8.8511122845137	-11.293135075607
52.948001861572	8.8842893067003	-8.8715934888976
53.946998596191	8.8967903161080	-6.6033831587839
54.945999145508	8.8897490877372	-4.4512385891335
55.944999694824	8.8687027862161	-2.3844028705339
56.944000244141	8.8423732063743	-0.37847072001172
57.943000793457	8.8213348986798	1.5849463927589
58.942001342773	8.8168573053189	3.5188508641815
59.941001892090	8.8400073638251	5.4316259361401
60.939998626709	8.9010256086161	7.3279138860068
61.938999176025	9.0090467724888	9.2093169076368
62.937999725342	9.1719171019968	11.075029888757
63.937000274658	9.3961398495718	12.922221821699
64.935997009277	9.6867449483126	14.746329316710
65.934997558594	10.047089578596	16.541274483354
66.933998107910	10.478452408795	18.299685169016
67.932998657227	10.979512659089	20.013359335315
68.931999206543	11.545804693926	21.674007793048
69.930999755859	12.169265835387	23.274433280486
70.930000305176	12.838292080805	24.810256516333
71.929000854492	13.538444433215	26.281747944241
72.928001403809	14.254199892557	27.695832793034
73.927001953125	14.971836686170	29.067336274043
74.926002502441	15.683089495350	30.419160999697
75.925003051758	16.389243452931	31.780857430939
76.924003601074	17.104713731243	33.185447883146
77.922996520996	17.859707547379	34.664887090424
78.921997070313	18.701523119387	36.244511388282
79.920997619629	19.694613637072	37.936877897373
80.919998168945	20.919510705745	39.734649098001
81.918998718262	22.470389873470	41.602100422520
82.917999267578	24.449740172103	43.463802884480
83.916999816895	26.956956930729	45.190248313567
84.916000366211	30.065042382232	46.582315817914
85.915000915527	33.778531016677	47.362413233288
86.914001464844	37.969944525459	47.191122005668
87.913002014160	42.310277827416	45.737018931741
88.912002563477	46.244632165223	42.817606014142
89.911003112793	49.088612983551	38.570706360325
90.910003662109	50.268188724141	33.531270372352
91.908996582031	49.579838406012	28.493586149136
92.907997131348	47.270301095416	24.211291387817
93.906997680664	43.879652105519	21.148935740076
94.905998229980	39.995630166668	19.430010748325
95.904998779297	36.085969086968	18.938368714413
96.903999328613	32.451492723678	19.452550863176
97.902999877930	29.253907631050	20.739902762677
98.902000427246	26.564856748103	22.600417870073
99.901000976563	24.408420153233	24.876789151414
100.90000152588	22.789928641318	27.448093738095
101.89900207520	21.712510868280	30.217260443840
102.89800262451	21.184674770940	33.097173888852
103.89700317383	21.220664056023	35.996833913133
104.89600372314	21.834122474383	38.808726929596
105.89499664307	23.024158454906	41.399647300123
106.89399719238	24.753581448532	43.609304622143
107.89299774170	26.922686459735	45.263825571729
108.89199829102	29.349018274590	46.210129834382
109.89099884033	31.770984213982	46.368353374818
110.88999938965	33.890387929806	45.781962897207
111.88899993896	35.448537543112	44.633128222805
112.88800048828	36.301450859822	43.202672785544
113.88700103760	36.452102573182	41.789804706414
114.88600158691	36.026187962738	40.634897775606
115.88500213623	35.213992937315	39.879398218651
116.88400268555	34.212883283029	39.566895996556
117.88300323486	33.190621291584	39.667863530193
118.88200378418	32.270422167609	40.108672540608
119.88099670410	31.530074848794	40.794822120252
120.87999725342	31.006671179846	41.626508838821
121.87899780273	30.702412410487	42.508948288835
122.87799835205	30.589774778876	43.359949637063
123.87699890137	30.617434134859	44.117255008047
124.87599945068	30.718095819521	44.744986998337
125.87500000000	30.819110924040	45.237745714512
126.87400054932	30.855150844678	45.620307374982
127.87300109863	30.780165073989	45.941398270805
128.87199401855	30.575054008563	46.262391490582
129.87100219727	30.249111828129	46.644105416743
130.86999511719	29.835152136022	47.135179409439
131.86900329590	29.381032178168	47.764910279846
132.86799621582	28.939818898137	48.540661378404
133.86700439453	28.561515657318	49.449477429456
134.86599731445	28.286377434196	50.461623563283
135.86500549316	28.140546035327	51.535585229482
136.86399841309	28.133375725832	52.623703043382
137.86300659180	28.256255875887	53.678262437237
138.86199951172	28.483234273235	54.657796104727
139.86099243164	28.774270565106	55.533617440777
140.86000061035	29.080943440118	56.294899465291
141.85899353027	29.354338746093	56.951039096269
142.85800170898	29.553844053880	57.530319708689
143.85699462891	29.654356203983	58.074575363114
144.85600280762	29.650200339273	58.631041332958
145.85499572754	29.554929786442	59.243688725940
146.85400390625	29.397430139714	59.945992524496
147.85299682617	29.215763631986	60.756450111303
148.85200500488	29.050407594164	61.677167696890
149.85099792480	28.937997660225	62.694929449567
150.85000610352	28.906344914621	63.784194056186
151.84899902344	28.970703083897	64.911360851759
152.84800720215	29.131819875174	66.039893549646
153.84700012207	29.375564616262	67.135989108557
154.84599304199	29.674836069742	68.174346347684
155.84500122070	29.993712448882	69.142899225265
156.84399414063	30.293482898574	70.045771311884
157.84300231934	30.539681981744	70.903260873529
158.84199523926	30.708489024962	71.748688123050
159.84100341797	30.791052155582	72.622802704831
160.83999633789	30.794833059871	73.566866660022
161.83900451660	30.741896943782	74.616460686768
162.83799743652	30.664979040413	75.796579904519
163.83700561523	30.602463439827	77.119223219843
164.83599853516	30.593120152557	78.582870869474
165.83500671387	30.671482617089	80.173909700789
166.83399963379	30.863993326808	81.869224138886
167.83299255371	31.186312182348	83.639794318199
168.83200073242	31.641897966815	85.455305935145
169.83099365234	32.222187732563	87.288988085871
170.83000183105	32.908675868970	89.122433371467
171.82899475098	33.676987201377	90.949462745587
172.82800292969	34.502467570568	92.778254635979
173.82699584961	35.366445205444	94.630921702722
174.82600402832	36.261871050501	96.540518395923
175.82499694824	37.197416441395	98.545824762422
176.82400512695	38.199020361385	100.68529725476
177.82299804688	39.309194547619	102.99078453964
178.82200622559	40.584177451034	105.48240545012
179.82099914551	42.089865259431	108.16459265105
180.82000732422	43.896907327076	111.02391695640
181.81900024414	46.075518623060	114.02831471591
182.81799316406	48.690172650237	117.12796922776
183.81700134277	51.795072424155	120.25821701562
184.81599426270	55.430820421760	123.34409212944
185.81500244141	59.623854530182	126.30641013579
186.81399536133	64.389599704370	129.06744450499
187.81300354004	69.739588554774	131.55457599982
188.81199645996	75.691751566860	133.69810531758
189.81100463867	82.280546716373	135.42132927184
190.80999755859	89.562160401569	136.62143270305
191.80900573730	97.608513402581	137.14233253070
192.80799865723	106.48356303080	136.74457505429
193.80700683594	116.19518814971	135.08139152149
194.80599975586	126.62011992552	131.69758915559
195.80499267578	137.40908441463	126.07613067589
196.80400085449	147.90385992827	117.75978996505
197.80299377441	157.12936044942	106.55215417422
198.80200195313	163.93714124610	92.739822032862
199.80099487305	167.31788652689	77.202739396790
200.80000305176	166.76421642391	61.277652525952
201.79899597168	162.46800498469	46.387213176685
202.79800415039	155.21949283152	33.632987513634
203.79699707031	146.09214928578	23.575903347552
204.79600524902	136.11702514111	16.263296357163
205.79499816895	126.09003620815	11.402637606175
206.79400634766	116.52580545096	8.5513131633405
207.79299926758	107.69988306643	7.2515439116282
208.79200744629	99.719446460932	7.1006250292931
209.79100036621	92.588391123826	7.7747531644782
210.78999328613	86.255152879098	9.0275868268693
211.78900146484	80.643652995374	10.678368542798
212.78799438477	75.671477347824	12.597704302153
213.78700256348	71.259593517067	14.694551805835
214.78599548340	67.336921832991	16.905587734851
215.78500366211	63.841899189432	19.186999038973
216.78399658203	60.722434018793	21.508359419831
217.78300476074	57.935014293376	23.848162310577
218.78199768066	55.443409707436	26.190651634453
219.78100585938	53.217308725826	28.523606047920
220.77999877930	51.230884112472	30.836909853419
221.77900695801	49.461547676305	33.121681056484
222.77799987793	47.888802974470	35.369888711580
223.77699279785	46.493367456223	37.574305989304
224.77600097656	45.256423896656	39.728749359406
225.77499389648	44.159341429542	41.828558380579
226.77400207520	43.183516370850	43.871050551138
227.77299499512	42.310698458080	45.856100963297
228.77200317383	41.523548440636	47.786412838915
229.77099609375	40.806354898095	49.667614631241
230.77000427246	40.145968163946	51.507979489578
231.76899719238	39.532439808319	53.317702189525
232.76800537109	38.959627090671	55.108051663777
233.76699829102	38.425249871174	56.890071531834
234.76600646973	37.930599542054	58.673531180033
235.76499938965	37.479834436268	60.465877495541
236.76400756836	37.078997458134	62.271502052242
237.76300048828	36.734696132659	64.091468985739
238.76199340820	36.453028758158	65.923677381176
239.76100158691	36.238294428675	67.763275714093
240.75999450684	36.092203437655	69.603769587064
241.75900268555	36.013377505001	71.438052791109
242.75799560547	35.997289211431	73.259860053919
243.75700378418	36.036767835489	75.065019455862
244.75599670410	36.123016342656	76.852460783881
245.75500488281	36.246965767278	78.624941927998
246.75399780273	36.400813381001	80.388898429717
247.75300598145	36.579547888409	82.153916801845
248.75199890137	36.782043819016	83.931544960519
249.75100708008	37.011648575470	85.733613025134
250.75000000000	37.276105950343	87.570683221150
251.74899291992	37.586785055184	89.450399065475
252.74800109863	37.957461972505	91.376395912959
253.74699401855	38.402633831090	93.347724765969
254.74600219727	38.935822715777	95.358957951032
255.74499511719	39.567959038098	97.400839096979
256.74398803711	40.306114087761	99.461691906715
257.74301147461	41.152874141134	101.52918022197
258.74200439453	42.106415500425	103.59234330803
259.74099731445	43.161518709157	105.64341966016
260.73999023438	44.311238070697	107.67935655697
261.73901367188	45.549330930356	109.70227186320
262.73800659180	46.872643425861	111.71916148115
263.73699951172	48.283394294342	113.74032683623
264.73599243164	49.790790288231	115.77700271153
265.73498535156	51.411304170013	117.83853334292
266.73400878906	53.168253973986	119.92919181904
267.73300170898	55.089717807525	122.04581200203
268.73199462891	57.206063532670	124.17569574054
269.73098754883	59.546418188418	126.29600256238
270.73001098633	62.135421353851	128.37433003826
271.72900390625	64.989741766661	130.37027838021
272.72799682617	68.116006297237	132.23846370503
273.72698974609	71.509630651971	133.93251595605
274.72601318359	75.155547867858	135.40893650671
275.72500610352	79.030707126558	136.63022388699
276.72399902344	83.107815716204	137.56692270502
277.72299194336	87.359675852307	138.19704884745
278.72198486328	91.762682690310	138.50340082126
279.72100830078	96.298445086095	138.46913449451
280.72000122070	100.95266791549	138.07257334079
281.71899414063	105.71101847158	137.28293968559
282.71798706055	110.55241566657	136.05866472304
283.71701049805	115.44139842910	134.34878274375
284.71600341797	120.32107487084	132.09938624628
285.71499633789	125.10888145008	129.26313007643
286.71398925781	129.69755144258	125.81146934514
287.71301269531	133.96182615918	121.74646155089
288.71200561523	137.77118343353	117.10899221680
289.71099853516	141.00611088992	111.98055598355
290.70999145508	143.57388029541	106.47690583520
291.70901489258	145.41994449097	100.73493211528
292.70800781250	146.53184703140	94.896015890313
293.70700073242	146.93514947523	89.090309863538
294.70599365234	146.68331480213	83.425277858791
295.70498657227	145.84492653860	77.981005764445
296.70401000977	144.49188232472	72.811616582567
297.70300292969	142.69085789154	67.950847108956
298.70199584961	140.49934430359	63.419680565851
299.70098876953	137.96562813252	59.233367531982
300.70001220703	135.13181640080	55.406281884890
301.69900512695	132.03811935600	51.954047699965
302.69799804688	128.72675123002	48.892816905666
303.69699096680	125.24427727056	46.236591912039
304.69601440430	121.64186737620	43.993782049396
305.69500732422	117.97380437039	42.164446937917
306.69400024414	114.29436348449	40.738427221441
307.69299316406	110.65445961367	39.695334456189
308.69198608398	107.09856212903	39.005896731373
309.69100952148	103.66254583064	38.634354104412
310.69000244141	100.37257234539	38.541338145948
311.68899536133	97.245114779578	38.686693993369
312.68798828125	94.287790135770	39.031979313296
313.68701171875	91.500890182782	39.542440940048
314.68600463867	88.879086351023	40.188209813105
315.68499755859	86.413475023971	40.944986326982
316.68399047852	84.093339207310	41.794017018666
317.68301391602	81.907852181596	42.721681420703
318.68200683594	79.847296484910	43.718512319935
319.68099975586	77.904030905825	44.778173507333
320.67999267578	76.072806025719	45.896143319344
321.67898559570	74.350783975777	47.068552582182
322.67800903320	72.737162836375	48.291198227789
323.67700195313	71.232455675641	49.558771436987
324.67599487305	69.837735299452	50.864523143405
325.67498779297	68.553697400135	52.200115743101
326.67401123047	67.380001084633	53.555980030153
327.67300415039	66.314606887456	54.921722810899
328.67199707031	65.353448905280	56.286903188922
329.67098999023	64.490360104127	57.641722452887
330.67001342773	63.717324743931	58.977824972737
331.66900634766	63.024946397011	60.288889832792
332.66799926758	62.403207988465	61.571053445335
333.66699218750	61.842303376947	62.823021828616
334.66598510742	61.333510137428	64.045839318657
335.66500854492	60.869873151424	65.242309658220
336.66400146484	60.446680710570	66.416248346935
337.66299438477	60.061584164287	67.571472527060
338.66198730469	59.714317411204	68.711018221486
339.66101074219	59.406109376307	69.836347081042
340.66000366211	59.138898573834	70.946915392761
341.65899658203	58.914340743136	72.040149231322
342.65798950195	58.732962003007	73.111655334037
343.65701293945	58.593420098996	74.155956382856
344.65600585938	58.492146631735	75.167307477478
345.65499877930	58.423272461593	76.140731935885
346.65399169922	58.379123132322	77.072958356769
347.65301513672	58.350866717769	77.963036130005
348.65200805664	58.329625626706	78.812793447030
349.65100097656	58.307507069270	79.626739787992
350.64999389648	58.278629983993	80.411459141726
351.64898681641	58.239753473531	81.174689787742
352.64801025391	58.190582611783	81.924255773444
353.64700317383	58.133507332720	82.666945115288
354.64599609375	58.072941209690	83.407472789704
355.64498901367	58.014367660585	84.147976401239
356.64401245117	57.963190212184	84.887832088379
357.64300537109	57.923646369977	85.623940426258
358.64199829102	57.897889307903	86.351453687935
359.64099121094	57.885511900782	87.064773090649
360.64001464844	57.883399682786	87.758628599673
361.63900756836	57.886244696695	88.429276625675
362.63800048828	57.887080333261	89.075189011290
363.63699340820	57.878555061969	89.697568374857
364.63598632813	57.854158693574	90.300446271602
365.63500976563	57.808763370022	90.889773089243
366.63400268555	57.740118207497	91.473098833565
367.63299560547	57.648515698356	92.057936560566
368.63198852539	57.536865821037	92.650969352047
369.63101196289	57.410069738726	93.256930911541
370.63000488281	57.274001378612	93.878106362096
371.62899780273	57.134462551437	94.514175460170
372.62799072266	56.995936480181	95.162394652129
373.62701416016	56.861143872281	95.818577332260
374.62600708008	56.730093329991	96.477774014793
375.62500000000	56.600288315472	97.135526244528
376.62399291992	56.467265919403	97.789020793018
377.62298583984	56.324929354319	98.437519921937
378.62200927734	56.167064969068	99.083155401287
379.62100219727	55.988328160584	99.730655272717
380.61999511719	55.784958876525	100.38671868339
381.61898803711	55.556163043145	101.05951333196
382.61801147461	55.303658198967	101.75713058128
