Circmon Q1 P1 Data with SFQ testpad rectmon radiator, weak, R=16 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna_Temporary\Circmon\Liu\CW20180514A_Ox2\2021Nov02_QB124_P1_J6Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
0.000000000000000000e+00 5.120000000000000245e-02 6.406387437550120634e-03
1.000000000000000000e+01 4.578999999999999737e-02 5.550788232314397830e-03
2.000000000000000000e+01 4.950999999999999845e-02 5.371183109893014687e-03
3.000000000000000000e+01 4.529999999999999999e-02 5.256631811340794352e-03
4.000000000000000000e+01 4.614000000000000046e-02 5.232590180780451010e-03
5.000000000000000000e+01 4.907000000000000250e-02 5.190163773909258968e-03
6.000000000000000000e+01 5.045999999999999791e-02 5.446136428698789000e-03
6.500000000000000000e+01 4.832000000000000184e-02 5.214205404469601443e-03
7.000000000000000000e+01 4.599999999999999922e-02 5.047328204109575826e-03
7.500000000000000000e+01 4.907000000000000250e-02 5.521089747504562446e-03
8.000000000000000000e+01 4.823999999999999816e-02 5.629984191807290740e-03
8.500000000000000000e+01 4.746999999999999831e-02 5.028943427798726259e-03
9.000000000000000000e+01 4.501000000000000140e-02 5.181678492535020039e-03
9.500000000000000000e+01 4.318000000000000310e-02 5.205720123095363382e-03
1.000000000000000000e+02 4.834999999999999715e-02 5.532403456003548263e-03
1.050000000000000000e+02 4.764999999999999791e-02 5.040257136297710341e-03
1.100000000000000000e+02 4.580999999999999656e-02 4.525483399593904256e-03
1.150000000000000000e+02 3.486000000000000210e-02 3.487450644812052289e-03
1.200000000000000000e+02 6.003000000000000003e-02 6.253652372813825987e-03
1.250000000000000000e+02 1.183300000000000046e-01 8.599832672790791790e-03
1.300000000000000000e+02 9.607999999999999874e-02 8.638016438974865235e-03
1.350000000000000000e+02 8.387999999999999623e-02 8.336788950189395406e-03
1.400000000000000000e+02 7.552000000000000379e-02 7.570285199383177885e-03
1.450000000000000000e+02 6.187999999999999751e-02 7.278957205534320428e-03
1.500000000000000000e+02 6.496000000000000385e-02 6.665188519464396687e-03
1.550000000000000000e+02 6.329999999999999516e-02 7.399165358336032804e-03
1.600000000000000000e+02 5.763000000000000067e-02 6.576093065034891404e-03
1.650000000000000000e+02 6.486000000000000099e-02 7.761204030303545109e-03
1.700000000000000000e+02 5.985999999999999654e-02 7.136121635734637286e-03
1.750000000000000000e+02 6.851999999999999758e-02 7.855956338982542433e-03
1.800000000000000000e+02 6.201000000000000262e-02 6.677916441525754213e-03
1.850000000000000000e+02 6.208000000000000324e-02 6.373860525615539230e-03
1.900000000000000000e+02 6.275999999999999635e-02 7.141778489984130195e-03
1.950000000000000000e+02 6.285999999999999921e-02 6.699129644961351535e-03
2.000000000000000000e+02 6.776999999999999691e-02 7.894140105166615878e-03
2.050000000000000000e+02 6.710000000000000686e-02 7.116322645861413408e-03
2.100000000000000000e+02 6.446000000000000341e-02 7.099352083112937285e-03
2.150000000000000000e+02 6.868000000000000493e-02 8.987327188881018281e-03
2.200000000000000000e+02 6.741999999999999382e-02 8.659229642410460823e-03
2.250000000000000000e+02 6.290999999999999370e-02 7.959193929035778686e-03
2.300000000000000000e+02 6.443999999999999728e-02 8.020005112217822030e-03
2.350000000000000000e+02 6.558999999999999553e-02 8.233551360136159153e-03
2.400000000000000000e+02 6.241000000000000020e-02 7.319969398843139893e-03
2.450000000000000000e+02 6.223999999999999672e-02 7.597155257068265513e-03
2.500000000000000000e+02 5.748999999999999944e-02 7.669280148749293806e-03
2.550000000000000000e+02 6.103000000000000091e-02 6.783982458703736486e-03
2.600000000000000000e+02 5.806000000000000050e-02 6.989043425247835548e-03
2.650000000000000000e+02 6.122999999999999970e-02 7.618368460503862835e-03
2.700000000000000000e+02 5.979999999999999899e-02 7.216731808789903641e-03
2.750000000000000000e+02 5.845999999999999808e-02 7.505231375514015077e-03
2.800000000000000000e+02 5.364000000000000018e-02 7.027227191431908992e-03
2.850000000000000000e+02 5.732000000000000289e-02 7.223802876601769125e-03
2.900000000000000000e+02 5.816999999999999948e-02 6.996114493059701032e-03
2.950000000000000000e+02 5.714000000000000329e-02 6.604377336282353343e-03
3.000000000000000000e+02 5.850000000000000339e-02 6.884391621632226718e-03
3.050000000000000000e+02 5.593000000000000055e-02 7.435934910957733672e-03
3.100000000000000000e+02 5.884000000000000341e-02 6.990457638810208991e-03
3.150000000000000000e+02 5.165999999999999759e-02 6.742970265394917020e-03
3.200000000000000000e+02 5.448000000000000065e-02 6.547808793787430331e-03
3.250000000000000000e+02 5.711000000000000104e-02 7.302998836094662036e-03
3.300000000000000000e+02 5.781000000000000028e-02 7.443005978769599157e-03
3.350000000000000000e+02 5.918000000000000344e-02 6.577507278597264848e-03
3.400000000000000000e+02 5.446999999999999759e-02 6.396487942613508261e-03
3.450000000000000000e+02 5.414000000000000062e-02 6.888634262319346183e-03
3.500000000000000000e+02 5.797999999999999682e-02 7.162991693419726649e-03
3.550000000000000000e+02 5.897999999999999771e-02 6.812266729951198425e-03
3.600000000000000000e+02 5.661999999999999672e-02 6.641146888904054212e-03
3.650000000000000000e+02 5.342000000000000220e-02 6.901362184380703708e-03
3.700000000000000000e+02 5.621000000000000302e-02 6.704786499210843576e-03
3.750000000000000000e+02 5.809000000000000274e-02 6.881563194507480698e-03
3.800000000000000000e+02 5.179000000000000270e-02 6.471441261419282574e-03
3.850000000000000000e+02 5.412000000000000144e-02 6.716100207709827657e-03
3.900000000000000000e+02 5.458999999999999964e-02 6.038691911333116287e-03
3.950000000000000000e+02 5.600999999999999729e-02 6.424772213860970201e-03
4.000000000000000000e+02 6.094000000000000111e-02 6.832065719824421436e-03
4.050000000000000000e+02 6.162999999999999728e-02 6.890048475881718759e-03
