Circmon Q4 P1 Data with SFQ testpad rectmon radiator, weak, R=16 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna_Temporary\Circmon\Liu\CW20180514A_Ox2\2021Nov02_QB124_P1_J6Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
0.000000000000000000e+00 1.892999999999999891e-02 1.725340546095175927e-03
1.000000000000000000e+01 1.999000000000000082e-02 1.756453244467384104e-03
2.000000000000000000e+01 1.760000000000000106e-02 1.443912047182929976e-03
3.000000000000000000e+01 1.752000000000000085e-02 1.714026837596191195e-03
4.000000000000000000e+01 1.769000000000000086e-02 1.951614716074871010e-03
5.000000000000000000e+01 1.839999999999999969e-02 1.667357790037879038e-03
6.000000000000000000e+01 2.061999999999999944e-02 1.698470488410086998e-03
6.500000000000000000e+01 1.718000000000000083e-02 1.425527270872079758e-03
7.000000000000000000e+01 1.958000000000000018e-02 1.561291772859896764e-03
7.500000000000000000e+01 1.665000000000000160e-02 1.687156779911102265e-03
8.000000000000000000e+01 1.737000000000000002e-02 1.571191267796508487e-03
8.500000000000000000e+01 1.840999999999999928e-02 1.825749709023665509e-03
9.000000000000000000e+01 1.830999999999999989e-02 1.623517169604313118e-03
9.500000000000000000e+01 1.776000000000000148e-02 1.540078569424300527e-03
1.000000000000000000e+02 1.966000000000000039e-02 2.214658438676266744e-03
1.050000000000000000e+02 1.660999999999999976e-02 1.740896895281279907e-03
1.100000000000000000e+02 1.594999999999999890e-02 1.586747616982612684e-03
1.150000000000000000e+02 1.682000000000000162e-02 1.513208511739211597e-03
1.200000000000000000e+02 1.890000000000000013e-02 1.626345596729059139e-03
1.250000000000000000e+02 1.691000000000000142e-02 1.643316159477536346e-03
1.300000000000000000e+02 2.198999999999999913e-02 1.791808583526711528e-03
1.350000000000000000e+02 2.043000000000000024e-02 1.463711037056153203e-03
1.400000000000000000e+02 2.208999999999999853e-02 1.839891844647396696e-03
1.450000000000000000e+02 2.044999999999999943e-02 1.916259377015543585e-03
1.500000000000000000e+02 2.083000000000000129e-02 1.800293864900950024e-03
1.550000000000000000e+02 2.034000000000000044e-02 1.801708078463323034e-03
1.600000000000000000e+02 2.287000000000000144e-02 1.871004543019604656e-03
