Circmon Q1 Parity Data with SFQ testpad rectmon radiator, maybe strong, R=8 kOhm
2021Sep Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\J6Radiator_2021Sep28_Q124
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 1.309410000000000082e+03
5.000000000000000000e+00 1.202460000000000036e+03
1.000000000000000000e+01 1.257059999999999945e+03
1.500000000000000000e+01 1.253559999999999945e+03
1.600000000000000000e+01 1.360019999999999982e+03
1.800000000000000000e+01 1.290980000000000018e+03
2.000000000000000000e+01 1.302079999999999927e+03
2.200000000000000000e+01 1.451039999999999964e+03
2.400000000000000000e+01 4.653850000000000364e+03
2.600000000000000000e+01 5.423600000000000364e+03
2.800000000000000000e+01 5.000000000000000000e+03
3.000000000000000000e+01 2.879380000000000109e+03
3.200000000000000000e+01 2.463739999999999782e+03
3.400000000000000000e+01 2.256489999999999782e+03
3.600000000000000000e+01 2.678110000000000127e+03
3.800000000000000000e+01 1.884200000000000045e+03
4.000000000000000000e+01 2.574139999999999873e+03
4.200000000000000000e+01 2.749099999999999909e+03
4.400000000000000000e+01 3.095400000000000091e+03
4.600000000000000000e+01 2.901409999999999854e+03
4.800000000000000000e+01 3.409550000000000182e+03
5.000000000000000000e+01 2.401429999999999836e+03
5.200000000000000000e+01 2.317489999999999782e+03
5.400000000000000000e+01 2.105690000000000055e+03
5.600000000000000000e+01 1.897390000000000100e+03
5.800000000000000000e+01 1.787079999999999927e+03
6.000000000000000000e+01 1.934390000000000100e+03
6.200000000000000000e+01 1.726890000000000100e+03
6.400000000000000000e+01 1.865930000000000064e+03
6.600000000000000000e+01 1.768630000000000109e+03
6.800000000000000000e+01 1.993809999999999945e+03
7.000000000000000000e+01 2.007930000000000064e+03
7.200000000000000000e+01 1.810380000000000109e+03
7.400000000000000000e+01 1.533630000000000109e+03
7.600000000000000000e+01 1.670930000000000064e+03
7.800000000000000000e+01 1.638430000000000064e+03
8.000000000000000000e+01 1.710720000000000027e+03
8.200000000000000000e+01 1.625970000000000027e+03
8.400000000000000000e+01 1.629369999999999891e+03
8.600000000000000000e+01 1.679059999999999945e+03
8.800000000000000000e+01 1.765720000000000027e+03
9.000000000000000000e+01 2.366719999999999800e+03
9.200000000000000000e+01 2.970070000000000164e+03
9.400000000000000000e+01 4.349880000000000109e+03
9.600000000000000000e+01 4.636590000000000146e+03
9.800000000000000000e+01 4.695569999999999709e+03
1.000000000000000000e+02 5.655689999999999600e+03
1.050000000000000000e+02 5.907689999999999600e+03
1.100000000000000000e+02 5.945920000000000073e+03
1.150000000000000000e+02 5.985149999999999636e+03
1.200000000000000000e+02 6.399229999999999563e+03
1.250000000000000000e+02 7.765270000000000437e+03
1.300000000000000000e+02 9.243190000000000509e+03
1.350000000000000000e+02 1.017887000000000080e+04
1.400000000000000000e+02 8.877680000000000291e+03
1.450000000000000000e+02 1.169754999999999927e+04
