Circmon Q4 Parity Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Oct16_QB124_PSD_J6Radiator
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 1.898100000000000023e+02
2.500000000000000000e+00 1.885500000000000114e+02
5.000000000000000000e+00 1.887899999999999920e+02
7.500000000000000000e+00 1.783000000000000114e+02
1.000000000000000000e+01 1.903600000000000136e+02
1.250000000000000000e+01 1.953600000000000136e+02
1.500000000000000000e+01 1.961299999999999955e+02
1.500000000000000000e+01 1.961299999999999955e+02
1.600000000000000000e+01 1.848300000000000125e+02
1.700000000000000000e+01 1.923499999999999943e+02
1.800000000000000000e+01 1.912899999999999920e+02
1.900000000000000000e+01 1.957599999999999909e+02
2.000000000000000000e+01 1.929000000000000057e+02
2.100000000000000000e+01 2.003499999999999943e+02
2.200000000000000000e+01 1.937599999999999909e+02
2.300000000000000000e+01 1.835500000000000114e+02
2.400000000000000000e+01 2.004099999999999966e+02
2.500000000000000000e+01 2.293600000000000136e+02
2.600000000000000000e+01 2.767099999999999795e+02
2.700000000000000000e+01 4.001000000000000227e+02
2.800000000000000000e+01 3.107699999999999818e+02
2.900000000000000000e+01 6.544500000000000455e+02
3.000000000000000000e+01 5.666100000000000136e+02
3.100000000000000000e+01 3.996999999999999886e+02
3.200000000000000000e+01 4.274100000000000250e+02
3.300000000000000000e+01 3.604900000000000091e+02
3.400000000000000000e+01 9.068099999999999454e+02
3.500000000000000000e+01 8.764700000000000273e+02
3.600000000000000000e+01 6.160499999999999545e+02
3.700000000000000000e+01 5.240900000000000318e+02
3.800000000000000000e+01 7.847699999999999818e+02
3.900000000000000000e+01 1.297890000000000100e+03
4.000000000000000000e+01 1.539440000000000055e+03
4.100000000000000000e+01 3.271880000000000109e+03
4.200000000000000000e+01 5.007140000000000327e+03
4.300000000000000000e+01 3.911550000000000182e+03
4.400000000000000000e+01 2.889739999999999782e+03
4.500000000000000000e+01 3.225150000000000091e+03
4.600000000000000000e+01 2.755309999999999945e+03
4.700000000000000000e+01 4.100100000000000364e+03
4.800000000000000000e+01 4.164479999999999563e+03
4.900000000000000000e+01 3.581280000000000200e+03
5.000000000000000000e+01 3.719630000000000109e+03
5.100000000000000000e+01 1.980900000000000091e+03
5.200000000000000000e+01 3.796639999999999873e+03
5.300000000000000000e+01 3.040429999999999836e+03
5.400000000000000000e+01 2.541780000000000200e+03
5.500000000000000000e+01 2.937739999999999782e+03
