Circmon Q2 Parity Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Oct16_QB124_PSD_J6Radiator
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 1.310999999999999943e+01
2.500000000000000000e+00 1.382000000000000028e+01
5.000000000000000000e+00 1.328999999999999915e+01
7.500000000000000000e+00 1.300000000000000000e+01
1.000000000000000000e+01 1.297000000000000064e+01
1.250000000000000000e+01 1.285999999999999943e+01
1.500000000000000000e+01 1.303999999999999915e+01
1.500000000000000000e+01 1.303999999999999915e+01
1.600000000000000000e+01 1.185999999999999943e+01
1.700000000000000000e+01 1.253999999999999915e+01
1.800000000000000000e+01 1.327999999999999936e+01
1.900000000000000000e+01 1.156000000000000050e+01
2.000000000000000000e+01 1.221000000000000085e+01
2.100000000000000000e+01 1.352999999999999936e+01
2.200000000000000000e+01 1.260999999999999943e+01
2.300000000000000000e+01 1.341999999999999993e+01
2.400000000000000000e+01 1.325000000000000000e+01
2.500000000000000000e+01 1.642000000000000171e+01
2.600000000000000000e+01 1.828999999999999915e+01
2.700000000000000000e+01 5.752000000000000313e+01
2.800000000000000000e+01 1.072999999999999972e+02
2.900000000000000000e+01 4.713000000000000256e+01
3.000000000000000000e+01 1.415200000000000102e+02
3.100000000000000000e+01 4.514999999999999858e+01
3.200000000000000000e+01 4.028000000000000114e+01
3.300000000000000000e+01 2.867000000000000171e+01
3.400000000000000000e+01 4.168999999999999773e+01
3.500000000000000000e+01 4.263000000000000256e+01
3.600000000000000000e+01 4.492000000000000171e+01
3.700000000000000000e+01 3.160000000000000142e+01
3.800000000000000000e+01 6.342999999999999972e+01
3.900000000000000000e+01 6.311999999999999744e+01
4.000000000000000000e+01 1.024099999999999966e+02
4.100000000000000000e+01 1.153400000000000034e+02
4.200000000000000000e+01 1.572899999999999920e+02
4.300000000000000000e+01 2.867699999999999818e+02
4.400000000000000000e+01 1.819799999999999898e+02
4.500000000000000000e+01 1.254000000000000057e+02
4.600000000000000000e+01 9.932999999999999829e+01
4.700000000000000000e+01 2.829700000000000273e+02
4.800000000000000000e+01 1.998400000000000034e+02
4.900000000000000000e+01 7.920999999999999375e+01
5.000000000000000000e+01 1.034000000000000057e+02
5.100000000000000000e+01 5.902000000000000313e+01
5.200000000000000000e+01 8.529000000000000625e+01
5.300000000000000000e+01 8.679999999999999716e+01
5.400000000000000000e+01 6.282999999999999829e+01
5.500000000000000000e+01 1.630999999999999943e+02
