Circmon Q4 Parity Data with SFQ testpad rectmon radiator, maybe strong, R=8 kOhm
2021Sep Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\J6Radiator_2021Sep28_Q124
Fitting method Chris' no white noise verison














# [VoltageBias(mDAC), ParityRate(sec^-1)]
#-------------------------------------------------------
0.000000000000000000e+00 4.151000000000000227e+02
5.000000000000000000e+00 4.126999999999999886e+02
1.000000000000000000e+01 4.098000000000000114e+02
1.500000000000000000e+01 4.134499999999999886e+02
1.600000000000000000e+01 4.101299999999999955e+02
1.800000000000000000e+01 3.845699999999999932e+02
2.000000000000000000e+01 3.746200000000000045e+02
2.200000000000000000e+01 4.056399999999999864e+02
2.400000000000000000e+01 4.293700000000000045e+02
2.600000000000000000e+01 5.345199999999999818e+02
2.800000000000000000e+01 5.858600000000000136e+02
3.000000000000000000e+01 5.817699999999999818e+02
3.200000000000000000e+01 6.203500000000000227e+02
3.400000000000000000e+01 7.838099999999999454e+02
3.600000000000000000e+01 1.053559999999999945e+03
3.800000000000000000e+01 1.239539999999999964e+03
4.000000000000000000e+01 2.592980000000000018e+03
4.200000000000000000e+01 2.928659999999999854e+03
4.400000000000000000e+01 3.009030000000000200e+03
4.600000000000000000e+01 3.431389999999999873e+03
4.800000000000000000e+01 3.618110000000000127e+03
5.000000000000000000e+01 3.053329999999999927e+03
5.200000000000000000e+01 3.118780000000000200e+03
5.400000000000000000e+01 2.693889999999999873e+03
5.600000000000000000e+01 2.784269999999999982e+03
5.800000000000000000e+01 2.119420000000000073e+03
6.000000000000000000e+01 2.129190000000000055e+03
6.200000000000000000e+01 1.640430000000000064e+03
6.400000000000000000e+01 1.480200000000000045e+03
6.600000000000000000e+01 1.672869999999999891e+03
6.800000000000000000e+01 1.937710000000000036e+03
7.000000000000000000e+01 1.441589999999999918e+03
7.200000000000000000e+01 1.553230000000000018e+03
7.400000000000000000e+01 1.188190000000000055e+03
7.600000000000000000e+01 9.288200000000000500e+02
7.800000000000000000e+01 1.005470000000000027e+03
8.000000000000000000e+01 9.269099999999999682e+02
8.200000000000000000e+01 8.833099999999999454e+02
8.400000000000000000e+01 1.005399999999999977e+03
8.600000000000000000e+01 8.381100000000000136e+02
8.800000000000000000e+01 1.121809999999999945e+03
9.000000000000000000e+01 1.190309999999999945e+03
9.200000000000000000e+01 9.723300000000000409e+02
9.400000000000000000e+01 1.046410000000000082e+03
9.600000000000000000e+01 1.128319999999999936e+03
9.800000000000000000e+01 1.206940000000000055e+03
1.000000000000000000e+02 1.223839999999999918e+03
1.050000000000000000e+02 1.380690000000000055e+03
1.100000000000000000e+02 1.290750000000000000e+03
1.150000000000000000e+02 1.415460000000000036e+03
1.200000000000000000e+02 1.559740000000000009e+03
1.250000000000000000e+02 2.185289999999999964e+03
1.300000000000000000e+02 2.794579999999999927e+03
1.350000000000000000e+02 3.377619999999999891e+03
1.400000000000000000e+02 4.160399999999999636e+03
1.450000000000000000e+02 4.621060000000000400e+03
