Circmon Q1 P1 Data with SFQ testpad rectmon radiator, strong, R=8 kOhm
2021Oct Cooldown
Z:\mcdermott-group\data\Antenna\Circmon\Liu\CW20180514A_Ox2\2021Nov04_QB124_P1PSD_J8Radiator_Sim















# [VoltageBias(mV), P1, std]
#-------------------------------------------------------
0.000000000000000000e+00 9.297999999999999321e-02 8.797822571523023633e-03
1.000000000000000000e+01 8.916000000000000314e-02 8.666300710222325440e-03
2.000000000000000000e+01 8.899999999999999578e-02 8.693170767907414803e-03
3.000000000000000000e+01 9.510000000000000397e-02 9.261684619981400482e-03
4.000000000000000000e+01 9.744999999999999496e-02 9.428561820341423497e-03
5.000000000000000000e+01 9.475000000000000089e-02 8.712969757780637814e-03
6.000000000000000000e+01 9.650000000000000244e-02 8.794994144398278479e-03
6.500000000000000000e+01 9.636999999999999733e-02 8.858633754705066976e-03
7.000000000000000000e+01 9.611000000000000099e-02 8.546092557420613064e-03
7.500000000000000000e+01 9.644999999999999407e-02 8.964699771883050117e-03
8.000000000000000000e+01 9.619999999999999385e-02 8.671957564471819216e-03
8.500000000000000000e+01 1.006800000000000056e-01 8.584276323604686509e-03
9.000000000000000000e+01 1.018400000000000000e-01 8.676200205158938680e-03
9.500000000000000000e+01 1.019899999999999973e-01 8.942072354885078483e-03
1.000000000000000000e+02 1.011200000000000015e-01 8.557406265919597146e-03
1.050000000000000000e+02 1.018099999999999977e-01 9.965962974043200348e-03
1.100000000000000000e+02 9.557000000000000217e-02 9.178246019801387240e-03
1.150000000000000000e+02 7.245000000000000051e-02 6.092432026703293278e-03
1.200000000000000000e+02 9.070000000000000284e-02 8.319818387440917548e-03
1.250000000000000000e+02 1.920600000000000085e-01 1.560584666078710346e-02
1.300000000000000000e+02 2.754300000000000082e-01 1.884298150505911776e-02
1.350000000000000000e+02 2.039900000000000047e-01 1.699460437903748192e-02
1.400000000000000000e+02 1.672500000000000098e-01 1.624507119097974225e-02
1.450000000000000000e+02 1.554800000000000071e-01 1.384515077563260033e-02
1.500000000000000000e+02 1.486000000000000099e-01 1.407001073204992153e-02
1.550000000000000000e+02 1.328499999999999959e-01 1.333603389317828541e-02
1.600000000000000000e+02 1.188400000000000012e-01 1.170544565576210616e-02
1.650000000000000000e+02 1.262099999999999889e-01 1.281277487510024127e-02
1.700000000000000000e+02 1.344400000000000039e-01 1.236588338939034401e-02
1.750000000000000000e+02 1.230600000000000027e-01 1.213819500584827418e-02
1.800000000000000000e+02 1.255300000000000027e-01 1.239133923351305906e-02
1.850000000000000000e+02 1.245399999999999979e-01 1.248609154219205465e-02
1.900000000000000000e+02 1.311400000000000066e-01 1.204061427004452997e-02
1.950000000000000000e+02 1.418999999999999984e-01 1.342088670692067123e-02
2.000000000000000000e+02 1.326700000000000101e-01 1.291601246515347579e-02
2.050000000000000000e+02 1.290999999999999925e-01 1.280287538016362976e-02
2.100000000000000000e+02 1.160800000000000026e-01 1.139290445847765398e-02
2.150000000000000000e+02 1.158499999999999946e-01 1.223011888740252635e-02
2.200000000000000000e+02 1.096899999999999958e-01 1.205192797854351579e-02
2.250000000000000000e+02 1.156599999999999989e-01 1.194727617492790696e-02
2.300000000000000000e+02 1.098999999999999977e-01 1.129390950911153720e-02
2.350000000000000000e+02 1.121700000000000058e-01 1.171393093713634682e-02
2.400000000000000000e+02 1.024299999999999933e-01 1.034072956807207191e-02
2.450000000000000000e+02 1.033099999999999991e-01 1.046235193443615687e-02
2.500000000000000000e+02 1.032799999999999968e-01 1.018233764908628262e-02
2.550000000000000000e+02 1.034500000000000003e-01 1.042416816825208342e-02
2.600000000000000000e+02 1.092800000000000021e-01 1.047366564293514095e-02
2.650000000000000000e+02 9.450999999999999679e-02 9.650593349633999549e-03
2.700000000000000000e+02 9.979000000000000370e-02 1.038457018850563567e-02
2.750000000000000000e+02 1.040699999999999958e-01 1.071125352141382228e-02
2.800000000000000000e+02 1.005000000000000060e-01 1.032517321888596663e-02
2.850000000000000000e+02 9.787999999999999479e-02 9.530385196832287173e-03
2.900000000000000000e+02 8.989999999999999380e-02 8.639430652537237812e-03
2.950000000000000000e+02 9.192000000000000171e-02 9.766558861748594195e-03
3.000000000000000000e+02 8.766000000000000181e-02 9.025510955065091726e-03
3.050000000000000000e+02 8.577999999999999514e-02 8.739839815465727177e-03
3.100000000000000000e+02 9.589999999999999913e-02 9.840097966991995931e-03
3.150000000000000000e+02 8.493000000000000549e-02 8.698827622156906844e-03
3.200000000000000000e+02 9.371000000000000163e-02 9.224915067359697879e-03
3.250000000000000000e+02 8.816999999999999837e-02 8.782266222336920086e-03
3.300000000000000000e+02 8.828999999999999349e-02 9.137233826492566907e-03
3.350000000000000000e+02 9.425999999999999657e-02 9.902323363736411851e-03
3.400000000000000000e+02 9.506000000000000560e-02 9.284312036979368646e-03
3.450000000000000000e+02 8.805999999999999939e-02 9.147133321429178412e-03
3.500000000000000000e+02 9.370000000000000551e-02 9.577054244390599547e-03
3.550000000000000000e+02 8.938000000000000111e-02 9.314010521789203162e-03
3.600000000000000000e+02 9.450000000000000067e-02 1.028133259845240115e-02
3.650000000000000000e+02 9.514000000000000234e-02 9.540284691768900413e-03
3.700000000000000000e+02 9.790000000000000091e-02 9.623723291948911920e-03
3.750000000000000000e+02 9.639999999999999958e-02 9.386135413470230587e-03
3.800000000000000000e+02 9.408999999999999309e-02 1.066034183316839044e-02
3.850000000000000000e+02 9.167999999999999761e-02 9.318253162476324361e-03
3.900000000000000000e+02 8.723999999999999810e-02 9.138648040054939484e-03
3.950000000000000000e+02 9.254999999999999338e-02 9.370579064284127041e-03
4.000000000000000000e+02 9.758000000000000007e-02 9.602510088513314598e-03
4.050000000000000000e+02 9.730999999999999373e-02 8.796408357960651056e-03
4.100000000000000000e+02 9.656000000000000694e-02 9.216429785985460685e-03
4.150000000000000000e+02 9.782000000000000417e-02 9.212187145298341220e-03
4.200000000000000000e+02 9.443999999999999617e-02 8.838834764831843965e-03
4.250000000000000000e+02 1.051699999999999996e-01 9.731203522689265903e-03
4.300000000000000000e+02 1.022900000000000059e-01 9.569983176578733194e-03
4.350000000000000000e+02 1.004000000000000031e-01 9.326738443850561555e-03
4.400000000000000000e+02 9.425999999999999657e-02 9.135819612930194331e-03
4.450000000000000000e+02 9.275999999999999523e-02 8.847320046206082894e-03
4.500000000000000000e+02 8.630000000000000171e-02 7.864441620356781362e-03
4.550000000000000000e+02 8.479000000000000425e-02 7.144606917108876215e-03
4.600000000000000000e+02 8.244999999999999551e-02 7.544829355260461966e-03
4.650000000000000000e+02 1.059900000000000009e-01 9.615238010574672992e-03
4.700000000000000000e+02 1.441699999999999926e-01 1.250447631850290509e-02
4.750000000000000000e+02 1.536399999999999988e-01 1.287358605828228288e-02
4.800000000000000000e+02 1.724999999999999867e-01 1.329785012699421197e-02
4.850000000000000000e+02 1.767900000000000027e-01 1.371362891433190213e-02
4.900000000000000000e+02 1.701300000000000034e-01 1.314370084869554388e-02
4.950000000000000000e+02 1.788899999999999935e-01 1.473469110636527711e-02
5.000000000000000000e+02 1.773599999999999899e-01 1.437548086152251083e-02
5.050000000000000000e+02 1.797900000000000054e-01 1.449710322788659751e-02
5.100000000000000000e+02 1.827400000000000135e-01 1.487469824904021250e-02
5.150000000000000000e+02 1.786300000000000110e-01 1.456498547888050547e-02
5.200000000000000000e+02 1.717799999999999883e-01 1.341664406623355177e-02
5.250000000000000000e+02 1.789300000000000057e-01 1.402051325736686400e-02
5.300000000000000000e+02 1.684599999999999986e-01 1.261619918993038027e-02
5.350000000000000000e+02 1.765299999999999925e-01 1.339118822211083672e-02
5.400000000000000000e+02 1.656499999999999917e-01 1.394697415212346227e-02
5.450000000000000000e+02 1.775100000000000011e-01 1.376312638901496140e-02
5.500000000000000000e+02 1.836200000000000054e-01 1.411385135248348875e-02
5.550000000000000000e+02 1.792999999999999872e-01 1.442922097689268782e-02
5.600000000000000000e+02 1.762700000000000100e-01 1.264024082049072274e-02
5.650000000000000000e+02 1.649599999999999955e-01 1.223577574165201839e-02
5.700000000000000000e+02 1.620099999999999874e-01 1.225133209083812194e-02
5.750000000000000000e+02 1.754900000000000071e-01 1.357079334453221986e-02
5.800000000000000000e+02 1.795799999999999896e-01 1.407283915917466842e-02
5.850000000000000000e+02 1.905000000000000027e-01 1.363019031415188889e-02
5.900000000000000000e+02 1.904000000000000137e-01 1.453670120763304353e-02
5.950000000000000000e+02 1.761300000000000088e-01 1.370655784652003752e-02
6.000000000000000000e+02 1.690899999999999903e-01 1.292591196009008729e-02
6.050000000000000000e+02 1.769600000000000062e-01 1.284813021415956782e-02
6.100000000000000000e+02 2.000599999999999878e-01 1.560160402009998400e-02
6.150000000000000000e+02 1.857300000000000062e-01 1.386070712481870387e-02
6.200000000000000000e+02 1.920099999999999862e-01 1.452114485844693825e-02
6.250000000000000000e+02 1.892500000000000016e-01 1.370514363295766321e-02
6.300000000000000000e+02 1.940800000000000025e-01 1.354533750040950481e-02
6.350000000000000000e+02 1.816099999999999937e-01 1.402899853874110120e-02
6.400000000000000000e+02 1.886799999999999866e-01 1.314087242157079873e-02
6.450000000000000000e+02 1.756500000000000006e-01 1.241113822338628207e-02
6.500000000000000000e+02 1.767700000000000105e-01 1.264872610186496167e-02
6.550000000000000000e+02 1.765700000000000047e-01 1.273216470204497491e-02
6.600000000000000000e+02 1.862800000000000011e-01 1.259640020005715726e-02
6.650000000000000000e+02 1.723399999999999932e-01 1.164180604545531940e-02
6.700000000000000000e+02 1.622399999999999953e-01 1.142401715684986281e-02
6.750000000000000000e+02 1.747599999999999987e-01 1.275762054616768996e-02
6.800000000000000000e+02 1.750500000000000111e-01 1.306874752988977130e-02
6.850000000000000000e+02 1.711399999999999866e-01 1.207596960910385653e-02
6.900000000000000000e+02 1.723000000000000087e-01 1.324976686587352702e-02
6.950000000000000000e+02 1.778000000000000136e-01 1.365423194471223137e-02
7.000000000000000000e+02 1.883700000000000097e-01 1.469650734018120367e-02
