#Parameters = {a=905; eps_eff=6; r_i=70; r_o=90.5; t=0.1}
#"Frequency / GHz"	"Z1,1 (3) [Real/Imaginary Part] [Re]"	"Z1,1 (3) [Real/Imaginary Part] [Im]"
#---------------------------------------------------------------------------------------------
1.0000000000000	-1201.4935951058	-2650.9183373791
1.4989999532700	-588.18360106123	-1954.3206534085
1.9980000257492	-341.47361055145	-1522.0177005903
2.4969999790192	-220.69740541766	-1239.4446372068
2.9960000514984	-153.24128102228	-1042.8252199948
3.4949998855591	-111.93691679300	-898.88601001807
3.9939999580383	-84.888733956082	-789.24098261329
4.4930000305176	-66.250000096277	-703.06004502638
4.9920001029968	-52.883845762291	-633.59523509794
5.4910001754761	-42.988339177367	-576.44124046000
5.9899997711182	-35.467833325295	-528.60677108033
6.4889998435974	-29.627631879051	-487.99213987775
6.9879999160767	-25.007703883517	-453.08230913936
7.4869999885559	-21.296075021861	-422.75651506356
7.9860000610352	-18.272970191659	-396.16900192235
8.4849996566772	-15.781417445277	-372.66929759346
8.9840002059937	-13.706873207065	-351.74920250462
9.4829998016357	-11.963317657119	-333.00603048726
9.9820003509521	-10.485743304467	-316.11647329829
10.480999946594	-9.2243223978294	-300.81818167235
10.979999542236	-8.1402173266855	-286.89582994204
11.479000091553	-7.2028869911389	-274.17126131062
11.977999687195	-6.3878508102335	-262.49561298935
12.477000236511	-5.6756550027891	-251.74381866898
12.975999832153	-5.0503839732993	-241.80965277488
13.475000381470	-4.4991780868928	-232.60267544154
13.973999977112	-4.0112681520558	-224.04522874791
14.472999572754	-3.5778475238534	-216.07028455661
14.972000122070	-3.1916114169332	-208.61969890763
15.470999717712	-2.8463461613516	-201.64274740673
15.970000267029	-2.5368950225703	-195.09514687005
16.468999862671	-2.2587957033133	-188.93778521275
16.968000411987	-2.0082458917358	-183.13626244543
17.466999053955	-1.7820837539269	-177.66002931438
17.965999603271	-1.5775922708280	-172.48197559210
18.465000152588	-1.3923053574352	-167.57784287045
18.964000701904	-1.2241253592756	-162.92595187737
19.462999343872	-1.0713749923613	-158.50685062712
19.961999893188	-0.93236696559990	-154.30300761019
20.461000442505	-0.80579173025540	-150.29864574155
20.959999084473	-0.69040493479835	-146.47941255443
21.458999633789	-0.58517849281178	-142.83238246389
21.958000183105	-0.48910986249563	-139.34570230363
22.457000732422	-0.40142529788015	-136.00863606929
22.955999374390	-0.32138248644522	-132.81142304049
23.454999923706	-0.24826586480931	-129.74497885162
23.954000473022	-0.18151209908102	-126.80113614709
24.452999114990	-0.12058723037156	-123.97232584485
24.951999664307	-0.065034369241019	-121.25159349956
25.451000213623	-0.014393006842424	-118.63253913621
25.950000762939	0.031735076440766	-116.10918701789
26.448999404907	0.073644555122462	-113.67613650436
26.947999954224	0.11169603400538	-111.32829999344
27.447000503540	0.14619400969762	-109.06096727635
27.945999145508	0.17739028432355	-106.86979086510
28.444999694824	0.20551415435604	-104.75068873834
28.944000244141	0.23079606791103	-102.69993220156
29.443000793457	0.25344460772496	-100.71395656114
29.941999435425	0.27364238311788	-98.789589499847
30.440999984741	0.29154470669490	-96.923624074241
30.940000534058	0.30734641232701	-95.113269935064
31.438999176025	0.32115696876348	-93.355781495246
31.937999725342	0.33313990780119	-91.648663917032
32.437000274658	0.34339799294977	-89.989597168411
32.936000823975	0.35207726562331	-88.376337817765
33.435001373291	0.35926742353713	-86.806783578211
33.933998107910	0.36506200127320	-85.279051557798
34.432998657227	0.36958533532861	-83.791186415799
34.931999206543	0.37290620819729	-82.341477710713
35.430999755859	0.37510415960049	-80.928300096901
35.930000305176	0.37627164473225	-79.550097291275
36.429000854492	0.37647503472779	-78.205380637592
36.928001403809	0.37578458071436	-76.892838045343
37.426998138428	0.37426329517880	-75.611090686101
37.925998687744	0.37197635223226	-74.358851669255
38.424999237061	0.36897997676868	-73.135042076506
38.923999786377	0.36534274885860	-71.938488577179
39.423000335693	0.36109335209672	-70.768228470944
39.922000885010	0.35629718274288	-69.623053542968
40.421001434326	0.35099482317031	-68.502212707306
40.919998168945	0.34523524173692	-67.404739004292
41.418998718262	0.33905424847074	-66.329680549573
41.917999267578	0.33250828627990	-65.276334679401
42.416999816895	0.32561663472668	-64.243830359962
42.916000366211	0.31842436970876	-63.231468477357
43.415000915527	0.31096753419508	-62.238517850141
43.914001464844	0.30327167792388	-61.264323633931
44.412998199463	0.29537221813722	-60.308233890880
44.911998748779	0.28730894565483	-59.369593658599
45.410999298096	0.27909501929614	-58.447861500505
45.909999847412	0.27077075179840	-57.542450970234
46.409000396729	0.26235551766437	-56.652814217652
46.908000946045	0.25387322264040	-55.778450741756
47.407001495361	0.24535672667417	-54.918870334776
47.905998229980	0.23681845645484	-54.073573413830
48.404998779297	0.22827967897862	-53.242147740766
48.903999328613	0.21977145205274	-52.424119658562
49.402999877930	0.21130538494725	-51.619109562949
49.902000427246	0.20290687991591	-50.826690174377
50.401000976563	0.19458582507372	-50.046500130650
50.900001525879	0.18636336872320	-49.278143603024
51.398998260498	0.17825730085729	-48.521321113587
51.897998809814	0.17027957164948	-47.775640929378
52.396999359131	0.16244828354434	-47.040793584658
52.895999908447	0.15477044023776	-46.316480734520
53.395000457764	0.14727093119696	-45.602392754744
53.894001007080	0.13995100911336	-44.898251851196
54.393001556396	0.13282790140359	-44.203759261309
54.891998291016	0.12591751734829	-43.518665924737
55.390998840332	0.11922034753677	-42.842693401384
55.889999389648	0.11275264303976	-42.175622374569
56.388999938965	0.10652744504600	-41.517186581037
56.888000488281	0.10054322455919	-40.867175817981
